year,수익률,종목명
2018,-15.74122771619787,DB하이텍
2019,1.2121297023921507,DB하이텍
2020,103.71786763113309,DB하이텍
2021,94.03761321813577,DB하이텍
2022,22.99764818080494,DB하이텍
2011,,DGB금융지주
2012,-2.714399425244707,DGB금융지주
2013,14.625326135991834,DGB금융지주
2014,-4.288131475900714,DGB금융지주
2015,-23.46753273310921,DGB금융지주
2016,-18.702938862604455,DGB금융지주
2017,19.220020030917006,DGB금융지주
2018,-3.1350130953165745,DGB금융지주
2019,-25.635124946840527,DGB금융지주
2020,-25.968446141270295,DGB금융지주
2021,52.52336708482366,DGB금융지주
2022,6.246454612725749,DGB금융지주
2010,,DRB동일
2011,-8.669372539891462,DRB동일
2012,50.49095669994035,DRB동일
2013,63.47574586197846,DRB동일
2014,69.85327771629271,DRB동일
2015,22.06512753419403,DRB동일
2016,-7.667438875006416,DRB동일
2017,-22.48397324756022,DRB동일
2018,-25.240306326277672,DRB동일
2019,-14.335432722333808,DRB동일
2020,2.5771654738558913,DRB동일
2021,9.795063614572076,DRB동일
2022,-24.064632990655323,DRB동일
2013,,DSR
2014,-9.956700008520636,DSR
2015,-6.189701007987769,DSR
2016,38.487630871362136,DSR
2017,54.060165640098276,DSR
2018,-38.93068749725156,DSR
2019,-7.09832255741063,DSR
2020,1.4725600853381593,DSR
2021,45.016561541985276,DSR
2022,-14.935391230830442,DSR
2010,,DSR제강
2011,-7.647343796544249,DSR제강
2012,-9.618278101724687,DSR제강
2013,-7.737169357487117,DSR제강
2014,16.64841824498322,DSR제강
2015,4.138216020333774,DSR제강
2016,31.396082850606554,DSR제강
2017,59.29061279972223,DSR제강
2018,-35.59817811725519,DSR제강
2019,-7.160940820064576,DSR제강
2020,-12.137667696673793,DSR제강
2021,45.99704820464501,DSR제강
2022,-23.07915831391266,DSR제강
2010,,E1
2011,-10.207138428924578,E1
2012,9.6141694739168,E1
2013,26.8536151261489,E1
2014,-3.066195569900454,E1
2015,-3.199665313168887,E1
2016,-8.794908456290196,E1
2017,-4.833629167174502,E1
2018,6.201380618355157,E1
2019,-11.577334213551016,E1
2020,-25.935187392517676,E1
2021,22.313382517238157,E1
2022,-6.5993488469282,E1
2010,,F&F
2011,74.05518038107095,F&F
2012,-11.988676987898216,F&F
2013,2.095730872235513,F&F
2014,49.86999260088201,F&F
2015,85.58915376663518,F&F
2016,-19.517783051314574,F&F
2017,108.64933583027283,F&F
2018,93.68635138917698,F&F
2019,37.291514196034385,F&F
2020,16.793816652592497,F&F
2021,-33.15136142035827,F&F
2022,-78.04524581991714,F&F
2010,,GKL
2011,-13.70074922215595,GKL
2012,26.847367761867,GKL
2013,38.32135458887986,GKL
2014,21.624359666162807,GKL
2015,-18.737667266089918,GKL
2016,-26.633146285904775,GKL
2017,-4.328405206783248,GKL
2018,8.414757381938397,GKL
2019,-15.934605120466994,GKL
2020,-30.680614504012983,GKL
2021,7.4010233580803275,GKL
2022,-11.70356260159574,GKL
2010,,GS
2011,61.22915800885729,GS
2012,-15.704346983906625,GS
2013,-6.89674224300687,GS
2014,-22.916000374804536,GS
2015,2.8749684153289268,GS
2016,11.671832565037853,GS
2017,20.844985008553007,GS
2018,-9.28674453429429,GS
2019,-10.807603015519362,GS
2020,-25.435393489884017,GS
2021,11.445667986959872,GS
2022,-4.651284665481958,GS
2010,,GS건설
2011,19.68961175838637,GS건설
2012,-26.788698386159915,GS건설
2013,-51.310097549034886,GS건설
2014,-8.159782692946049,GS건설
2015,-20.26012863655926,GS건설
2016,3.5094033219854825,GS건설
2017,7.207058941307842,GS건설
2018,40.281356507803046,GS건설
2019,-9.062777612965577,GS건설
2020,-27.370979341509738,GS건설
2021,55.77349505171516,GS건설
2022,0.7682478130514259,GS건설
2010,,GS글로벌
2011,-16.052119734585744,GS글로벌
2012,-12.708477363484604,GS글로벌
2013,-21.300826029694896,GS글로벌
2014,-7.7479359338924025,GS글로벌
2015,-20.632144269731956,GS글로벌
2016,-43.154007004355286,GS글로벌
2017,6.784232217781239,GS글로벌
2018,3.13686140468894,GS글로벌
2019,-21.976199016191845,GS글로벌
2020,-31.22798252678557,GS글로벌
2021,48.9197053178976,GS글로벌
2022,-11.18177438561645,GS글로벌
2011,,GS리테일
