,corp_code,corp_name,stock_code,account_nm,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
33,00378628,KH바텍,060720,자산총계,381851259789.0,294887205322,283444245278.0,298635095837.0,320081205958.0,414589388528.0,455395701081.0,576287266289.0,444121495209.0,404287963111.0,366215887286.0
34,00176835,농우바이오,054050,자산총계,311048574941.0,301691666741,289864328942.0,264252672962.0,239907397434.0,221239049724.0,216946680011.0,216353815431.0,186925994701.0,163646180059.0,146699405808.0
35,00148948,조비,001550,자산총계,103778712983.0,87855328252,91685509979.0,94027701306.0,93468379865.0,88744853401.0,86659966828.0,83262172818.0,81378984628.0,,
36,00549891,케어젠,214370,자산총계,226759967922.0,216556145567,231847040571.0,218938147534.0,221822603101.0,230681994725.0,,,43970393951.0,,
37,00126478,삼성중공업,010140,자산총계,12138595961258.0,12922170785868,13600084435896.0,14282891986284.0,13818113112135.0,17217462678653.0,17301591987466.0,17122234082586.0,17427146525233.0,16634966575537.0,16413939003189.0
38,00134510,세종공업,033530,자산총계,1180100054496.0,1158750683420,996027850575.0,871007601480.0,900553567979.0,952518535473.0,914404459150.0,858809961341.0,697570395550.0,669607297984.0,637756160522.0
39,00823429,한국화장품,123690,자산총계,48508445747.0,75378061752,81307960199.0,95021031123.0,99397360290.0,99299898273.0,72898698969.0,91230282767.0,108902651025.0,113557331014.0,123346866756.0
40,00138729,아세아제지,002310,자산총계,969593253200.0,882326924993,848228967713.0,812379764128.0,766895048057.0,720959585385.0,654562230479.0,715736923126.0,715453347400.0,472881024860.0,458140728606.0
41,00132211,SUN&L,002820,자산총계,566176956589.0,528379078958,543553941107.0,625332075304.0,615266035619.0,577876289722.0,563581137354.0,523959616035.0,519216425438.0,454078035389.0,494311777752.0
42,00160375,진양폴리우레탄,010640,자산총계,48090926524.0,44798057577,43396757140.0,35008057720.0,35313762844.0,34846883901.0,19621522192.0,22024142606.0,23509501953.0,23919760568.0,24659735623.0
43,00121941,대상,001680,자산총계,2870530105668.0,2528335046890,2389611801046.0,2191537396279.0,2252431436486.0,2308460528264.0,2104598661650.0,1814827132158.0,1738880014841.0,1621341812646.0,1565601613039.0
44,00124726,빙그레,005180,자산총계,760245280571.0,764138445081,684922782174.0,653929092795.0,635622606558.0,623750932009.0,616988522405.0,578852361832.0,564293684908.0,,
45,00260383,대한유화,006650,자산총계,2478873031267.0,2127550340179,2026475125984.0,1983913415064.0,1970580429103.0,1763643254167.0,1529064057909.0,1440420696889.0,1354531210940.0,1278129428259.0,1271667971394.0
46,00181299,상아프론테크,089980,자산총계,319566575046.0,283345311095,248318384822.0,239055868118.0,219920722280.0,201973937987.0,180814312060.0,154764487384.0,143645644216.0,119965859642.0,112844339087.0
47,00103592,광동제약,009290,자산총계,883845298043.0,830643378837,792776012791.0,732056804258.0,722699737573.0,679780115106.0,663786480731.0,442528217116.0,425675174180.0,389433837093.0,321682096806.0
48,00173944,우진,105840,자산총계,229794619014.0,240174509124,199870388998.0,211028961226.0,189940871092.0,181294689932.0,194742732890.0,176954856030.0,147947814934.0,133690293880.0,119840830874.0
49,00406046,STX중공업,071970,자산총계,430406730156.0,467363345753,447548959282.0,567197922629.0,744314393355.0,849906703009.0,1419848488937.0,1486441146022.0,1821814980554.0,1049278968809.0,1137453339963.0
50,00414850,효성 ITX,094280,자산총계,241404764480.0,161698569724,159341636763.0,121415205503.0,147514109825.0,122365581490.0,120185170717.0,103239396990.0,85740868521.0,71688635224.0,61725769325.0
51,00632304,JW홀딩스,096760,자산총계,1065779475044.0,1113573849001,1226595424776.0,1257638362679.0,1347252528750.0,1192502462114.0,1082862852768.0,279419707485.0,275629481077.0,1077132171797.0,1094786335859.0
52,00148993,하이트진로홀딩스,000140,자산총계,,3904980586600,3836704099756.0,3989286142629.0,4059346912106.0,3967110668051.0,4068786993227.0,4017988232073.0,4262180556368.0,4443598670732.0,4714754950539.0
53,00413046,셀트리온,068270,자산총계,5697325665000.0,5047695702044,3893691606446.0,3540626673954.0,3315527704653.0,2896847406229.0,2748230541703.0,2322385038800.0,1978508192255.0,1732913896532.0,1407313302397.0
54,00122551,백산,035150,자산총계,330162573232.0,291097332698,330589416820.0,294732635620.0,191846950460.0,186773462332.0,170612301486.0,163001525854.0,152570048059.0,158972212695.0,153278162111.0
55,00104786,미래아이앤지,007120,자산총계,99668333058.0,92320794314,72302050465.0,57570342895.0,68822163884.0,52119332248.0,47974557521.0,48844886895.0,33288536592.0,37376215891.0,41178848197.0
56,00113535,대한해운,005880,자산총계,3859734558837.0,3345588771234,3340874141977.0,2932927976230.0,2573268186678.0,2196110377425.0,1517923154072.0,1300693720606.0,1222386256540.0,1419420083643.0,1661944327215.0
57,00171265,파라다이스,034230,자산총계,3471796250289.0,3313512458993,3470353602407.0,3150767406528.0,2435323991646.0,2308018643306.0,1993869490615.0,1601908311509.0,1230024865676.0,1036636585268.0,742033597493.0
58,00134565,이스타코,015020,자산총계,82087856901.0,70696187624,78897625324.0,80340272366.0,88142004394.0,117311533213.0,115417616218.0,70532658380.0,92335201125.0,77114137808.0,74252152650.0
59,00128971,DL건설,001880,자산총계,1669601207042.0,1498377650002,851719906629.0,796093447022.0,771791250784.0,739445680202.0,706824030534.0,654226263971.0,680011150193.0,598387597228.0,597753797193.0
60,00187415,코미팜,041960,자산총계,115261543395.0,121912527790,125644472893.0,139903685082.0,149268452535.0,149843271138.0,133389117895.0,124397607166.0,108796730848.0,76977313348.0,64118372955.0
61,00648721,SNT에너지,100840,자산총계,332143487939.0,335351656753,333897234560.0,280991533997.0,300266693299.0,348042345547.0,316196095837.0,304511815856.0,311675279190.0,292802033164.0,276511841219.0
62,00292434,인트론바이오,048530,자산총계,153365407334.0,100535587174,89032049654.0,54796362663.0,45629570482.0,49089537257.0,31494440536.0,34400309894.0,23206939566.0,19644765280.0,20418213662.0
63,00144164,SK가스,018670,자산총계,5121535471833.0,4498920423918,4082417323183.0,3755607241785.0,4351747561273.0,4070915648349.0,4079951416413.0,3337842683098.0,2628349552907.0,2892299702843.0,2036113922153.0
64,00828789,대성산업,128820,자산총계,1652414612585.0,1101676163724,1032388422641.0,1092773443347.0,1114074439387.0,1108563225747.0,1235997451412.0,1870839105084.0,2268734316519.0,2652193606112.0,2422039403700.0
65,00300548,현대리바트,079430,자산총계,863648498521.0,803314893273,752808371990.0,678896575415.0,682759227266.0,419856717596.0,379216031090.0,345197898416.0,332663051409.0,,
66,00155355,풀무원,017810,자산총계,1969372521092.0,1693573176270,1484556453749.0,1216938902214.0,1103028814900.0,1061384109104.0,975950980498.0,1053567588638.0,981371865735.0,1025509528415.0,926334533744.0
67,00127255,삼영화학공업,003720,자산총계,117674615660.0,108988416830,106971164435.0,105230477980.0,112737911811.0,156643431023.0,170243059842.0,186450567861.0,198659539715.0,207864169133.0,222342523209.0
68,00369170,인터플렉스,051370,자산총계,356224457260.0,327916556709,351362963161.0,368234205898.0,554319083376.0,431135558792.0,479319435106.0,580655841853.0,705724234817.0,875293530852.0,491883686987.0
69,00152686,코리아써키트,007810,자산총계,1064620686323.0,921746308017,479713960645.0,500488797322.0,556503135113.0,520500737082.0,526992025592.0,542551001126.0,551207963636.0,462312486043.0,419488243635.0
70,00127158,씨아이테크,004920,자산총계,79538624907.0,75094282849,58689706660.0,58083487950.0,38255017772.0,39843703994.0,40189896789.0,28234174258.0,26501902485.0,17891628771.0,24213117021.0
71,00454946,그린케미칼,083420,자산총계,211689251240.0,176839792647,186816236262.0,189074021670.0,195270243385.0,206368678238.0,218566708029.0,196396573320.0,162058007960.0,158667056914.0,129851419694.0
72,00852087,시디즈,134790,자산총계,84805500508.0,95773293248,67071397536.0,72030520714.0,23322113898.0,23017620314.0,22601841001.0,23016886567.0,23820764405.0,35171797923.0,42441181529.0
73,00587457,갤럭시아머니트리,094480,자산총계,316916029802.0,262091504435,240358045533.0,229962292901.0,183457161324.0,143345214450.0,124025960304.0,105194914981.0,169018357620.0,170244342430.0,195545615618.0
74,00113225,대한제강,084010,자산총계,1232437581471.0,944860967703,635231706471.0,657105859875.0,753638611690.0,669562189666.0,635458248703.0,776610882206.0,810646281902.0,778837588388.0,794943509473.0
75,00145598,이연제약,102460,자산총계,477978172163.0,317609837018,273486807487.0,303166752160.0,290843099318.0,209535338183.0,247697046219.0,191245739538.0,178399194347.0,156922678162.0,134202480948.0
76,00124197,세아제강지주,003030,자산총계,2898999027652.0,2315558156681,2448548032007.0,2445381294325.0,2411700236887.0,2169697076932.0,2073851398096.0,2285029617477.0,1995560542284.0,,
77,00140964,영원무역홀딩스,009970,자산총계,4325576166733.0,3732514860246,3789427813762.0,3262155792804.0,2760525744291.0,2838123068022.0,2648231029182.0,1774790424195.0,1616649994865.0,,
78,00104519,국보,001140,자산총계,102314951997.0,90823630562,115356448465.0,48188112711.0,73270170253.0,81308887366.0,83085438266.0,91005502138.0,98315385826.0,98494841081.0,98869464705.0
79,00158149,한국쉘석유,002960,자산총계,165711579705.0,148607730718,141114506335.0,144599597573.0,130947310148.0,122973241166.0,126542699020.0,115064148628.0,122825707368.0,116670671475.0,119139745942.0
80,00136341,신성통상,005390,자산총계,898483605934.0,858316042143,691880234255.0,656445420136.0,638558364106.0,699964366781.0,671394324851.0,627980549389.0,628654912417.0,551884228990.0,517520114830.0
81,00122898,벽산,007210,자산총계,505440465430.0,464447679592,462713986754.0,474553686577.0,451649550583.0,458398719793.0,429504382107.0,399992604279.0,398397733400.0,322986330851.0,339288838167.0
82,00116268,동성제약,002210,자산총계,104581874040.0,125718174655,131730492742.0,140196083360.0,124184875432.0,125386411764.0,124116093726.0,134264134903.0,127090351543.0,133633670077.0,124577132185.0
83,00228350,신화인터텍,056700,자산총계,175295772742.0,176253207787,184128026293.0,200454305557.0,195978756428.0,206270306724.0,203760821288.0,228932697070.0,219942427889.0,258358878603.0,314829935786.0
84,00453929,메디포스트,078160,자산총계,254093738594.0,219811428587,213719038755.0,175753119554.0,144645988773.0,141346742932.0,146269898512.0,185969419999.0,145771193158.0,137438650001.0,131794925794.0
85,00156150,하이트론씨스템즈,019490,자산총계,47438063074.0,61361479296,55580995978.0,64828343190.0,57881576889.0,63889677915.0,54818530708.0,61769828618.0,73124265037.0,87699732176.0,94288390858.0
86,00109286,대동,000490,자산총계,1260639075992.0,938726122031,827371930074.0,772716727753.0,730626224000.0,667215742122.0,688285313104.0,707010305377.0,577832577710.0,554436780217.0,568320324405.0
87,00141273,웰바이오텍,010600,자산총계,136826786107.0,70920911784,119823955761.0,111157696775.0,87006465283.0,59864699534.0,59088348546.0,61253425440.0,61228213369.0,61813588542.0,71154950185.0
88,00301246,SFA반도체,036540,자산총계,649395336516.0,586544872750,661228514368.0,627366722843.0,632921458212.0,676174765220.0,726706964707.0,813251267097.0,757840376003.0,720274926425.0,599252732730.0
89,00141413,영화금속,012280,자산총계,211560372817.0,197590024645,201880456881.0,208397874825.0,179811589919.0,137789309931.0,112542860631.0,104415471838.0,98358355713.0,105616696962.0,113212454550.0
90,00109693,DL,000210,자산총계,8322962606033.0,13901859840255,13445224177772.0,12833716731566.0,13402454876273.0,12391509195461.0,12064893869855.0,10596719328877.0,10783047096383.0,11006469362572.0,10764643409590.0
