,corp_code,corp_name,account_nm,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,159698,지역난방공사,자산총계,0.3292591341260799,0.45999920061149896,-0.4341002079292433,-4.003601514776136,1.2213060044311588,2.4680978486550433,2.391064071452164,1.3983064002288066,2.311533676673044,-0.15789565729417593,2.020051482335603
1,458234,아시아나IDT,자산총계,11.867460432524032,-3.9942837943279317,-3.522264345188812,4.468852603809613,9.795924275927351,12.854945411564886,,,,,
2,1009789,코스맥스,자산총계,2.431884842807955,-2.443425840479977,1.5211205487425135,1.984151833947443,1.66165231936211,4.7213211933782215,4.3026192247449115,4.8378106846840945,,,
3,102113,경인양행,자산총계,4.695501077205276,-1.5009940948141332,3.4682352188224232,3.3418876472948043,1.3351666243989089,1.9859284240389032,1.1236718150219231,3.2418463041597865,3.223182777690587,1.0041164714574757,2.589728456452762
4,168331,국동,자산총계,-4.718183260442648,5.906317710565936,-3.3826279650173525,1.7150008679508184,-8.435692627895833,5.001943649124202,5.584139617280646,9.968135172217055,5.48916972461107,-10.959402170211787,-1.769756710007574
5,210856,코아스,자산총계,66.46113734449892,46.99035255684713,-3.901162128837314,0.9426699315634872,2.8255035642708792,3.7632492182780095,-0.2601014683284429,6.080943888943109,3.36850275172966,8.608192798645346,
6,1108099,현대코퍼레이션홀딩스,자산총계,-2.0980367643995455,-0.8035329142807881,0.8783110390830896,-0.06590158950191997,-0.28051862219704005,-3.6653267884245673,-5.236027503772686,,,,
7,573579,평화산업,자산총계,5.431372075967292,8.67992989459013,5.000496477710044,2.0938949933712996,6.745455984092502,3.889182110090999,11.063804064619303,,,,
8,366137,KG ETS,자산총계,0.006687226234837707,-0.30449169328691766,-1.6643323953918001,-19.501066771160588,-3.8427678363826225,0.8777285248376341,1.4842357251325342,-1.3197222213606785,0.5924817487411602,,
9,168401,금비,자산총계,57.00671749289844,7.985786091845526,37.581713302893654,4.455003813731101,4.745996980419143,1.9676669486606206,8.72857346951089,7.327536369803362,5.91267649007194,,
10,117629,동양철관,자산총계,2.777418411182715,-2.358825842245711,6.468583130498636,6.2134060403008915,4.4193575632506015,8.253677100752107,4.318724828868241,1.6671423949588586,0.8766107134964927,1.0952685205909964,2.9569382225089518
11,123107,보락,자산총계,-6.69972983707842,13.008840198273328,3.1994559270132688,-12.337824509555642,-59.05681170868997,-27.574497120824876,4.684769093024286,-24.062511469619032,-17.63004470562432,5.271668482614345,9.122925231472772
12,141389,영풍정밀,자산총계,0.44804027671512625,0.12073923078819114,0.19357983161004977,0.32872501318757746,0.3341948908840318,0.8391622765027485,-0.048029967099810805,0.5978965457493989,0.22670717764586398,0.03770879809208825,0.2888199315870178
13,104999,윌비스,자산총계,3.9973274135665178,4.681774165216926,4.4758009840189,3.714637569859108,2.972673008361644,2.0595383115813295,2.983861359583583,4.075504901872236,3.790564082548921,7.2915050763854365,6.285341176299491
14,158219,시그네틱스,자산총계,9.319869891851571,-22.390324233390103,-12.548868427975579,-3.1089674009192194,0.6919384393788905,-2.4008470638184467,-1.6604277410807045,-1.925618741847249,3.600391991391696,5.32293425162082,5.675919858403268
15,115977,아이에스동서,자산총계,3.153303218700073,3.9099361083026674,2.5751734889094484,11.171556926754947,8.5807192857986,10.317704287349267,5.490212798851289,4.104842785567339,2.2059951271684106,1.4381641631644695,2.0041206014159676
16,134477,SNT중공업,자산총계,6.707250364610684,1.0009617967035511,1.9783714019079646,2.343515929862771,-3.6883793946450654,-2.7439852001188783,3.5395951022638017,0.283673669898934,2.4180536438861875,4.893594069411591,4.4380458240841305
17,142661,우성,자산총계,-1.695339249795961,1.8234478872709858,3.5328993310060293,-1.4945137552750642,0.4163727737128182,0.3270226462704649,-2.15278032724807,1.4599325132544554,1.1003858388760248,4.70301883059547,2.5083157383832235
18,133991,세아특수강,자산총계,4.110461345119785,-0.7704856793151316,1.917901826923842,2.2132881165359577,4.494227035255848,4.579466819327329,3.8404655039586926,6.067536110436524,6.788566901910767,6.016134393349164,6.620568083439682
19,152039,SG글로벌,자산총계,-2.9679266360190146,-1.151843651355725,0.3691450061537126,1.6283112340917325,0.17724432034910256,-0.6296881149818965,-3.364854126736436,-0.7399579716988952,1.1732773977903899,0.16232109951391735,5.199609494946243
20,155531,풍산홀딩스,자산총계,4.031344732588985,8.731649114114115,2.1587624371106693,2.1033816086274695,6.79870602055081,4.287889086314164,2.732749008013495,3.459007396907813,4.640174638535504,,
21,608802,텔콘RF제약,자산총계,19.703856686614525,-7.460944571534241,-8.945630200974069,-21.50675957826265,-17.984730981313003,-15.622193477518865,41.41773942210842,52.19567885098072,177.73528380470825,,
22,855093,선진,자산총계,0.5748375177954307,0.8445076805329487,0.7104165553232812,3.1236535541500245,1.3436840388733091,-1.3883703628618884,0.1200053296507598,4.223211344830706,5.028909319562954,,
23,378628,KH바텍,자산총계,0.4848014452074693,1.018939877272401,-0.04509529832741359,0.10990662503349834,0.32870278960960153,0.21069410992438017,0.32425262260816895,-0.39134525121868863,0.26636459206805513,,
24,176835,농우바이오,자산총계,-466.83048330744805,-494.776643222788,-453.78234430742725,-146.90064034047526,-142.03325987925902,-62.72713004784954,-558.7133268347511,68.09226292197452,338.21163182854946,520.0946908819651,682.0183802022179
25,148948,조비,자산총계,-10.37962475287638,-24.871316570947506,2.0923489910667383,-20.584017387613155,-8.10187350945585,15.574290572713096,22.861809190767765,27.164627964297335,57.096687029703894,,
