종족명,연도,tobinQ
현대비앤지스틸,2011,0.8290945321244286
현대비앤지스틸,2012,0.6569527133609182
현대비앤지스틸,2013,0.6749942610171669
현대비앤지스틸,2014,0.935229068891482
현대비앤지스틸,2015,0.5524747486303414
현대비앤지스틸,2016,0.4901175429014559
현대비앤지스틸,2017,0.5129562767091166
현대비앤지스틸,2018,0.4436151105583502
현대비앤지스틸,2019,0.35124186847470645
현대비앤지스틸,2020,0.2674996990217186
현대비앤지스틸,2021,0.5673438007557333
BYC,2011,0.3112638539258942
BYC,2012,0.3321823687628586
BYC,2013,0.3510661646339193
BYC,2014,0.42219790358928383
BYC,2015,0.6112304971538316
BYC,2016,0.7428414118775344
BYC,2017,0.5433193582065554
BYC,2018,0.41033888632047183
BYC,2019,0.3443312985603784
BYC,2020,0.30536497072417523
BYC,2021,0.5456207084001418
CJ,2011,292.9681589747653
CJ,2012,323.5049314652892
CJ,2013,0.4055125686525456
CJ,2014,0.48654562650554034
CJ,2015,0.7132041657237547
CJ,2016,0.5184337346196242
CJ,2017,0.43859246739206137
CJ,2018,0.33111333684428845
CJ,2019,0.2040252103022222
CJ,2020,0.15063626607144426
CJ,2021,0.17206242701567062
CJ CGV,2011,1.784035969179751
CJ CGV,2012,1.6700150546993846
CJ CGV,2013,2.7010493608700874
CJ CGV,2014,2.8178830833613353
CJ CGV,2015,4.8731356534260915
CJ CGV,2016,2.1029243661334625
CJ CGV,2017,1.9435604339618864
CJ CGV,2018,2.1916093131155217
CJ CGV,2019,1.341037007529557
CJ CGV,2020,2.1456042334425502
CJ CGV,2021,3.465196724137622
CJ씨푸드,2011,2.943703502530093
CJ씨푸드,2012,2.5343719740184767
CJ씨푸드,2013,2.125342421540269
CJ씨푸드,2014,1.9729579090498008
CJ씨푸드,2015,2.489589748522457
CJ씨푸드,2016,2.2437336827533985
CJ씨푸드,2017,1.8760018573689865
CJ씨푸드,2018,1.6112584592368677
CJ씨푸드,2019,1.5630210187078228
CJ씨푸드,2020,2.209430379420521
CJ씨푸드,2021,2.311160497847388
CJ ENM,2011,2.300193713170662
CJ ENM,2012,1.5601755301819473
CJ ENM,2013,1.8111664990841574
CJ ENM,2014,1.6186201183859334
CJ ENM,2015,0.9358197162591035
CJ ENM,2016,0.7926319433347929
CJ ENM,2017,0.8699923227962844
CJ ENM,2018,0.9379765883730242
CJ ENM,2019,1.2764514336078463
CJ ENM,2020,0.6993464155893384
CJ ENM,2021,0.7955643371291171
CJ제일제당,2011,745.8440303768533
CJ제일제당,2012,834.2702943448106
CJ제일제당,2013,0.7878522488330562
CJ제일제당,2014,0.8755031014581491
CJ제일제당,2015,0.9312647756716891
CJ제일제당,2016,0.8069142401609505
CJ제일제당,2017,0.7778731420728083
CJ제일제당,2018,0.696344265614857
CJ제일제당,2019,0.4386929009301798
CJ제일제당,2020,0.48362587744672153
CJ제일제당,2021,0.5889649227660017
CJ프레시웨이,2011,2.090974969007024
CJ프레시웨이,2012,2.129645763278193
CJ프레시웨이,2013,1.9274323729307632
CJ프레시웨이,2014,1.9554356426996107
CJ프레시웨이,2015,3.707861302077788
CJ프레시웨이,2016,2.3305019595437555
CJ프레시웨이,2017,1.8691846412684707
CJ프레시웨이,2018,1.4847989982468137
CJ프레시웨이,2019,1.2107514223746685
CJ프레시웨이,2020,0.6976838133403516
CJ프레시웨이,2021,1.070548278585968
CS홀딩스,2011,0.27889114370982987
CS홀딩스,2012,0.23433435106111286
CS홀딩스,2013,0.20125321379956074
CS홀딩스,2014,0.37021837543973835
CS홀딩스,2015,0.3830321574213165
CS홀딩스,2016,0.3495336083409101
CS홀딩스,2017,0.3528397102143485
CS홀딩스,2018,0.30713293167752476
CS홀딩스,2019,0.2446093361185647
CS홀딩스,2020,0.2110790955462423
CS홀딩스,2021,0.23950224005674492
DSR제강,2011,0.5301975147177209
DSR제강,2012,0.4842102782655388
DSR제강,2013,0.43636776117185394
DSR제강,2014,0.47286185220826743
DSR제강,2015,0.46475677968731594
DSR제강,2016,0.6082209898729324
DSR제강,2017,0.8709315813080676
DSR제강,2018,0.5464126347514624
DSR제강,2019,0.4954342812972225
DSR제강,2020,0.3911444220458424
DSR제강,2021,0.6194702716426482
E1,2013,0.3972835726980271
E1,2014,0.38116508108565245
E1,2015,0.3693952989861366
E1,2016,0.3633566819712839
E1,2017,0.32239231023723536
E1,2018,0.32861488679473333
E1,2019,0.3179128400973692
E1,2020,0.21609229675974728
E1,2021,0.2609415467332115
GKL,2011,5.30928663844763
GKL,2012,4.723940161010257
GKL,2013,5.475002983180717
GKL,2014,5.781931960818051
GKL,2015,4.313045809471621
GKL,2016,2.8649518166377894
GKL,2017,2.767490870953274
GKL,2018,2.786216082429369
GKL,2019,2.2070174526063973
GKL,2020,1.767620486295501
GKL,2021,2.543829772763139
GS,2011,973528.5113711547
GS,2012,833784.1258325746
GS,2013,0.7179425907619283
GS,2014,0.558907341968761
GS,2015,0.5430243572487171
GS,2016,0.5472150154651612
GS,2017,0.6034757181428199
GS,2018,0.4949175258425273
GS,2019,0.43581220879108856
GS,2020,0.3102252820985286
GS,2021,0.2784556933989301
GS건설,2011,1.3515714665960958
GS건설,2012,1.012834253091393
GS건설,2013,0.6004874192742494
GS건설,2014,0.5596332812485649
GS건설,2015,0.5522723898261787
GS건설,2016,0.579793233022195
GS건설,2017,0.6385652610063113
GS건설,2018,0.9073605692115012
GS건설,2019,0.7154186106981315
GS건설,2020,0.4901601998388786
GS건설,2021,0.744625316153198
GS글로벌,2011,1.1155740490545083
