,종목명,종목코드,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,지역난방공사,071320,0.7202581790637183,0.7029979433305976,0.7404558429501069,0.7242571800813747,0.6802056312522426,0.6484083009519231,0.6445677460947339,0.6555723955010115,0.6803988370651922,0.6886753960714054,0.6987350562423637
1,아시아나IDT,267850,0.2996211479387794,0.3643628657704351,0.3815277596629876,0.28184837201203944,0.30791730961366376,0.36816321200166086,,,,,
2,현대약품,004310,0.47148974643956465,0.4276841476814063,0.4302196877493231,0.39683600638569927,0.4242301821430864,0.3831188160107752,0.28733465538285224,0.28926973477593626,0.29421211214027887,0.33499092817685444,0.33534612681586523
3,코스맥스,192820,0.6703909010397229,0.7713285905858723,0.7372263237827191,0.7721743817210786,0.755479542513826,0.6886778851680072,0.780103271000566,0.7527355623385706,,,
4,경인양행,012610,0.5653611911806214,0.5478503600404373,0.49704999987465065,0.4582052532559337,0.41071639477492733,0.3950215090878931,0.38434943959506274,0.3667287862154206,0.40133324152969113,0.39124350424857496,0.4485456035488874
5,국동,005320,0.39240330215507446,0.5360555217943271,0.5103245471303126,0.6063250717998213,0.5989850755802232,0.5832829310279364,0.6669518800291395,0.6791876481796895,0.7889912120038995,0.8568154617912083,0.9144751698377598
6,태양금속공업,004100,0.7936633937467741,0.7751906510731941,0.8255101235424306,0.7576164301112182,0.7246610920689606,0.7109386033402344,0.7280683186208529,0.7274304432070146,0.7465350891957174,0.7756823747754517,0.7287604406827793
7,피엔티,137400,0.6916743090561752,0.7131624900085,0.8567247021130372,0.760548761931037,0.7549913602017966,0.6590953466747351,0.4715192651697276,0.37921523303219595,0.3408776040260193,0.4043950124245123,0.5516021516577225
8,한익스프레스,014130,0.8038413058488704,0.7726401823480974,0.7392467710795324,0.6627052719610729,0.6650966351425092,0.6098895461507496,0.5946634936856035,0.5192566943735483,0.673745762415928,0.7188612488697892,0.7961446105883555
9,코아스,071950,0.7598961322385571,0.6724654989348462,0.6725029271168763,0.7014514564003289,0.700723182170498,0.679749896968684,0.6556502228929785,0.5973428784182778,0.6157220365232992,0.5916823381573921,0.6275912923248365
10,현대코퍼레이션홀딩스,227840,0.19443485854308734,0.18426875309915183,0.25658781963169597,0.10872230480350165,0.10160015938843227,0.10876429471412623,0.07471080858373304,,,,
11,평화산업,090080,0.8819264743278348,0.8742135865132272,0.8275978152357186,0.8758880698984816,0.6177237266405727,0.6435507925692584,0.6371611197995335,0.6492973295397895,0.7304234887636033,0.7485681090950372,0.7016918207812567
12,KG ETS,151860,0.5970918003895854,0.5895299440311628,0.4404714503681266,0.33577690738128974,0.28659375813490007,0.289960415333029,0.2927089178742554,0.29300319166924627,0.38401933875860095,,
13,금비,008870,0.5209127716095777,0.5285609591461008,0.37142118322070433,0.3821391684822782,0.3926404325854417,0.4146990229491892,0.4007843993026186,0.409472295770187,0.3903361269241715,0.40797849521266283,0.4074842445749049
14,동양철관,008970,0.5475905822840177,0.4294752230252857,0.5138147744115024,0.5168385430638054,0.6477750479174749,0.4959342963200556,0.501825333828504,0.5343792971966767,0.5409707557206557,0.4903602335664927,0.47100391042459344
15,STX,011810,0.8187825464505605,0.8345461250076823,0.899499559905518,0.8844387170365717,0.9321798381622266,1.4671355034343212,0.9429130130111172,0.9253690432365845,1.3796315883562256,0.7026583033173878,0.6339553033668152
16,보락,002760,0.1913076867749166,0.18679257197776816,0.20982312115179572,0.17916751410518333,0.16611475475972337,0.19552544022999857,0.19219006981474374,0.20122896683983993,0.21004315469301962,0.22056465577538759,0.20652839825768302
17,영풍정밀,036560,0.1545348730356063,0.13872259402424922,0.1510981275600149,0.15300387483195002,0.15914865021058602,0.16788482683133732,0.1718354596470686,0.18281960593693372,0.18732543151605535,0.21363957659870872,0.2303086554158011
18,윌비스,008600,0.6235906021285401,0.6519145800738365,0.6375885988805032,0.5667085351535158,0.5719643561881254,0.5922903693291645,0.55998478175715,0.48268671377144295,0.5006085784740995,0.4813437776937938,0.4818230290761208
19,세방,004360,0.2795590459175174,0.26721213100562186,0.2595708152019614,0.1741753363427936,0.1857735639398241,0.2014401699492932,0.21890690255656303,0.24014896357719176,0.28211516870268327,0.32264988348925544,0.3578200396590615
20,시그네틱스,033170,0.3226382454064005,0.3620728080831043,0.2538106512113281,0.26481476538054544,0.28209249957144655,0.33315789087288755,0.24689570433477423,0.2587796856827663,0.27382286540666734,0.34179998349413776,0.40481374950236804
21,아이에스동서,010780,0.5849102471067517,0.6161703821718125,0.5583714025650512,0.4924547188484607,0.5132292731474432,0.5470444164349365,0.6764772102300568,0.6209103296642771,0.5923793611002085,0.6414722962400491,0.5929227239274767
22,에이블씨엔씨,078520,0.4084251173363959,0.3845517801050652,0.40791716677793877,0.17825966600577975,0.18175061827116365,0.28701190371094715,0.2545393519058939,0.2572420934477272,0.294102819534548,0.35224740298895724,0.3962813812286265
23,SNT중공업,003570,0.257695687881748,0.28308816814075194,0.266551516213501,0.2816301092590601,0.2789742939733166,0.2661114706375585,0.26481468296324995,0.28447156094759235,0.28108840150677444,0.31306558244763094,0.34827595875788203
24,우성,006980,0.5001846215544743,0.4342043067756486,0.48422130911253103,0.4359206465486293,0.3420099996867829,0.32675015517355455,0.35191338620393614,0.36579152423599537,0.365953594519321,0.42209581385020933,0.41293524698129297
25,세아특수강,019440,0.4772695853435499,0.4301153360589631,0.428802171240065,0.34986058664852254,0.39071620904309706,0.4082033047969265,0.4255774394084975,0.48165283452702384,0.4980371400406898,0.5538141777741582,0.5630060991578867
