,고유번호,기업명,자산총계,부채총계,자본총계,당기순이익,연도
88,01009789,코스맥스,1411928775762,946544204187,465384571575,34336481889,2021
89,01108099,현대코퍼레이션홀딩스,250984790560,48800192249,202184598311,11955288419,2021
90,00105466,KCC건설,1089774227600,647274466274,442499761326,47190335111,2021
91,00105606,금호에이치티,458795624447,107985909519,350809714928,-17808249426,2021
92,00106368,금호석유화학,8115674806919,3032766421565,5082908385354,1965576708770,2021
93,00107613,이수페타시스,449678765264,324186855631,125491909633,-3603718792,2021
94,00108940,대성홀딩스,1244012863048,647101706869,596911156179,23947536169,2021
95,00109189,대덕,1723958191276,351055476398,1372902714878,54714530587,2021
96,00110608,DSR,302598631429,124579417803,178019213626,12538612095,2021
97,00116301,NI스틸,341056807158,199203739916,141853067242,22054807252,2021
98,00118345,디아이동일,993144117431,419638627677,573505489754,46334631668,2021
99,00120076,LX인터내셔널,6746889021744,4362644678498,2384244343246,540331627454,2021
100,00122579,BYC,684434512150,202622247604,481812264546,29855489397,2021
101,00122737,팬오션,6488779000000,2891942000000,3596837000000,549305000000,2021
102,00123541,보해양조,153116763663,68867729120,84249034543,-908719386,2021
103,00123781,부국철강,150684042688,30259504634,120424538054,8793809072,2021
104,00124151,부산주공,239665282239,216496992293,23168289946,-11744451098,2021
105,00126414,삼성제약,145456078325,18185604636,127270473689,-40276343542,2021
106,00126566,한화에어로스페이스,11045830630560,7114272103768,3931558526792,301762016281,2021
107,00129280,삼화전자공업,66900329255,49263944386,17636384869,-4123338948,2021
108,00129350,삼화콘덴서공업,269298659241,66356720529,202941938712,28619003326,2021
109,00129679,녹십자,2462144732200,962387714561,1499757017639,136949879241,2021
110,00130772,SBS,1462149708150,740552349472,721597358678,144824284917,2021
111,00131692,서흥,809954854056,380086403113,429868450943,59295136504,2021
112,00132628,성문전자,54386004301,23623581165,30762423136,2973542781,2021
113,00133335,성창기업지주,703740104842,164488267623,539251837219,5938031129,2021
114,00134723,페이퍼코리아,497167643294,451786535547,45381107747,9246301358,2021
115,00135050,팜젠사이언스,220323823004,93391562628,126932260376,32414423208,2021
116,00135962,신라교역,680457027435,127921320912,552535706523,44526706578,2021
117,00136624,신영와코루,388668603657,65750359288,322918244369,6491809139,2021
118,00138224,쌍용씨앤이,3564764921137,1909294816425,1655470104712,185957156093,2021
119,00141477,영흥,518961056304,321035329574,197925726730,9975216972,2021
120,00142865,WISCOM,135283853674,15140908426,120142945248,1211761877,2021
121,00143527,경동인베스트,577693061246,137939973548,439753087698,13891393231,2021
122,00144252,유니온,366165151031,182516607328,183648543703,10374291668,2021
123,00148896,OCI,5704061113000,2580268702000,3123792411000,652075833000,2021
124,00149655,삼성물산,55245423114466,21892978957027,33352444157439,1829084039967,2021
125,00151128,모토닉,447982644765,29163386445,418819258320,11970139406,2021
126,00155124,평화홀딩스,518123304203,417006666018,101116638185,-15682644586,2021
127,00158112,한국수출포장공업,331846866963,68488033304,263358833659,15859236394,2021
128,00159573,한국주철관공업,423089951776,76191124416,346898827360,65898905421,2021
129,00159786,유니드,1347710902764,354619998629,993090904135,182423116307,2021
130,00159971,KC그린홀딩스,906605618427,646639158815,259966459612,9793621075,2021
131,00160232,KSS해운,1446228922766,1103404278356,342824644410,56071252425,2021
132,00161125,한온시스템,8233732861760,5757074853164,2476658008596,310725205709,2021
133,00161976,한세예스24홀딩스,2241273059610,1291920827286,949352232324,75870159104,2021
134,00164609,현대미포조선,3878320283000,1674021487000,2204298796000,-160108518000,2021
135,00166519,화천기공,425436857316,117087775886,308349081430,9313607545,2021
136,00167192,넥센,4572292481109,2455495304642,2116797176467,29421638925,2021
137,00167208,흥아해운,247298683108,144358895306,102939787802,16436494237,2021
138,00170558,코웨이,3800627982540,1896190300581,1904437681959,465486095093,2021
139,00174004,유성기업,409968041215,104854260807,305113780408,10346413405,2021
140,00186559,콤텍시스템,349140170006,181589153398,167551016608,4655797485,2021
141,00191588,삼원강재,270679643944,51952908280,218726735664,8804033367,2021
142,00194947,한전산업,163320479666,78116901515,85203578151,8559250123,2021
143,00225706,JW생명과학,218725051539,87974591257,130750460282,12172061364,2021
144,00231363,LG유플러스,19370515000000,11411957000000,7958558000000,724218000000,2021
145,00231372,롯데관광개발,1302424556614,1249736890563,52687666051,-200695718343,2021
146,00241005,코오롱플라스틱,369094511038,148544685997,220549825041,21756914883,2021
147,00242378,이지홀딩스,2313396923362,1383165969553,930230953809,9207549180,2021
148,00260930,에스엠,1314942073873,526500165835,788441908038,133225196705,2021
149,00261443,엔씨소프트,4581889369472,1430662643098,3151226726374,395734616139,2021
150,00264547,KG이니시스,1430089154289,916916340731,513172813558,62089717150,2021
151,00273110,에스티큐브,25860868897,9696432069,16164436828,-21529904686,2021
152,00298270,안랩,338208336825,83518898391,254689438434,42037337329,2021
153,00303217,우진플라임,276360691146,194240950584,82119740562,22511894621,2021
154,00306454,한국정보인증,265345149856,57812234191,207532915665,12550957163,2021
155,00309503,한국항공우주,5855223992714,4557779985276,1297444007438,53272528569,2021
156,00313649,현대바이오,80528215833,18957443929,61570771904,-20051086939,2021
157,00347062,현대바이오랜드,172744144498,47394338751,125349805747,-11686160416,2021
158,00377610,세아홀딩스,5537774298653,2674980508978,2862793789675,133614656404,2021
159,00390055,종근당바이오,298540307882,137048970090,161491337792,-6576601338,2021
160,00405278,KG모빌리언스,491220860107,194447856753,296773003354,29378687839,2021
161,00407814,크리스탈지노믹스,332926809975,118300626728,214626183247,-18340448280,2021
162,00414601,유니퀘스트,490332217891,181823563167,308508654724,60395383783,2021
163,00415628,세진중공업,570404297293,367209564922,203194732371,14059998585,2021
164,00428729,대호에이엘,145025262064,76000081956,69025180108,-3042735063,2021
165,00459871,농심홀딩스,1328637732004,289723336280,1038914395724,49163434609,2021
166,00525934,LX세미콘,1172530981920,372198273673,800332708247,296424020561,2021
167,00571483,오이솔루션,201838545655,42539273118,159299272537,14371772005,2021
168,00579999,고영,368329267167,87929904850,280399362317,39586268577,2021
169,00593032,LF,2541137894593,1042768391210,1498369503383,136154462569,2021
170,00679314,동성케미컬,818795752582,361792854334,457002898248,42391509833,2021
171,00728638,한세실업,1216241000843,751823859857,464417140986,67340655868,2021
172,00759294,와이솔,426784682330,61667449622,365117232708,27035739160,2021
173,00819073,인크로스,230365261451,137355877570,93009383881,21114722342,2021
174,00917861,슈피겐코리아,443927939641,61838226624,382089713017,45061966824,2021
175,00936787,애경케미칼,1244966459823,555841020238,689125439585,77289491625,2021
176,01074862,메가스터디교육,724298001534,370171191125,354126810409,81544834223,2021
177,01090471,씨아이에스,319224578938,202953067227,116271511711,-24607696621,2021
178,01205842,현대건설기계,3554288235000,2006480664000,1547807571000,126434170000,2021
179,01205851,현대일렉트릭,2214970249748,1568748135135,646222114613,-33686739374,2021
180,01412822,솔루스첨단소재,1011599745576,489392306309,522207439267,154872778,2021
181,00102858,고려아연,9964048634649,2229814171825,7734234462824,811106029144,2021
182,00103130,플레이그램,129521137663,77794237641,51726900022,-18015508627,2021
183,00104573,국일제지,141109203304,73386346414,67722856890,-8235569552,2021
184,00105299,금강공업,868658748310,481987958589,386670789721,22029790838,2021
185,00106641,기아,66849997000000,31937441000000,34912556000000,4760311000000,2021
186,00106881,인디에프,125281293277,87338281443,37943011834,-20111635209,2021
187,00107598,남양유업,937403118931,124442409140,812960709791,-58891078360,2021
188,00108038,엔피씨,499980382786,176774337449,323206045337,26181241315,2021
189,00109161,태경케미컬,160745889274,19762173299,140983715975,10914685864,2021
190,00112970,대한방직,232612120328,93144325550,139467794778,1555720538,2021
191,00113508,노루홀딩스,1055537182156,472000054543,583537127613,10707789673,2021
192,00114154,덕양산업,523564265414,459786677968,63777587446,1602088914,2021
193,00114792,동국제강,6334110919060,3551698513509,2782412405551,558595878971,2021
194,00117188,효성,5257873533894,2265599709955,2992273823939,540586504793,2021
195,00120571,롯데칠성음료,3596830123178,2151774423248,1445055699930,137076880540,2021
196,00121543,무학,646644149778,148103724720,498540425058,-16036159365,2021
197,00124799,사조산업,1113856493438,548108054331,565748439107,55325013372,2021
198,00125150,SGC에너지,2591549830557,1852133114204,739416716353,98486293116,2021
199,00126186,삼성에스디에스,10517432175247,3073731543176,7443700632071,633381433112,2021
200,00128555,삼천리,4245308851227,2785181548142,1460127303085,71110071514,2021
201,00129554,갤럭시아에스엠,40900713401,7850471270,33050242131,3681735226,2021
202,00137809,SHD,71036421199,30435746887,40600674312,5792585283,2021
203,00138057,써니전자,77185258102,9012295478,68172962624,4503538293,2021
204,00138279,S-Oil,18693235000000,11705193000000,6988042000000,1378541000000,2021
205,00141246,SGC이테크건설,591722026513,387466565470,204255461043,69577003929,2021
206,00141529,오뚜기,2605839008802,1067386662130,1538452346672,129977855166,2021
207,00145109,유한양행,2463811804950,527922717347,1935889087603,99126677873,2021
208,00145880,현대제철,37042298365641,18781894205821,18260404159820,1505154568208,2021
209,00146296,일신석재,91890079585,39637444370,52252635215,-61496553,2021
210,00147222,전방,383313469255,239288170943,144025298312,159907246,2021
211,00148276,제일기획,2542111414363,1414844027198,1127267387165,94479101401,2021
212,00149804,대유에이텍,1320996326519,1131295315219,189701011300,-2852371609,2021
213,00150828,진흥기업,334617161562,163663632831,170953528731,53413211910,2021
214,00151368,인터지스,388581565794,181665919506,206915646288,13786426550,2021
215,00151395,천일고속,62706049934,26777803079,35928246855,-567981626,2021
216,00155276,포스코케미칼,3922480303898,1484050371607,2438429932291,133761698843,2021
217,00159564,한국주강,50194779569,22132881731,28061897838,-1818818687,2021
218,00161046,한독,841561831887,457565420779,383996411108,3288807244,2021
219,00162586,한올바이오파마,198477805328,34985661619,163492143709,8896137176,2021
220,00162993,한일홀딩스,3263832353401,1333699702388,1930132651013,91582087557,2021
221,00163512,한진,3877620716229,2503649583464,1373971132765,161832906995,2021
222,00164788,현대모비스,51482537000000,16125063000000,35357474000000,2362474000000,2021
223,00165583,E1,3999326311289,2625919365638,1373406945651,138568374513,2021
224,00166500,화천기계,155922671832,30111089586,125811582246,5379750673,2021
225,00173795,신흥,138612212480,37195201135,101417011345,13449679792,2021
226,00176914,다우기술,46322445969793,41705976712451,4616469257342,914188890009,2021
227,00177199,디씨엠,286895605966,51347298046,235548307920,50754929691,2021
228,00177816,대주전자재료,298387221700,166476198434,131911023266,22969305215,2021
229,00181712,SK,165380861000000,99815712000000,65565149000000,5718424000000,2021
230,00193009,KH 필룩스,539371447061,112111273037,427260174024,-1715811782,2021
231,00197476,코엔텍,194149554498,38682955061,155466599437,29649870722,2021
232,00199252,HLB,743692264095,231507461398,512184802697,-111606825948,2021
233,00219574,코스맥스비티아이,954664614459,612768102873,341896511586,4343190417,2021
234,00225159,SNT홀딩스,2372324440132,592194060024,1780130380108,151814611728,2021
235,00230425,나노엔텍,62455233679,10114071117,52341162562,7320536717,2021
236,00244455,케이티앤지,11637271194200,2428409041148,9208862153052,971758744656,2021
237,00252135,주성엔지니어링,711899410354,342264093986,369635316368,145503481733,2021
238,00258689,JYP Ent.,317418306083,66768917247,250649388836,67500729976,2021
239,00263654,오스코텍,48967314569,17778798890,31188515679,-28589754575,2021
240,00303873,CJ CGV,3785492375609,3484207008067,301285367542,-338788006843,2021
241,00360142,아이마켓코리아,1120159809046,703385717080,416774091966,44499433381,2021
242,00372882,KTcs,416750372360,234171975254,182578397106,19034234222,2021
243,00380429,CMG제약,199174593034,14472098819,184702494215,3165485154,2021
244,00401731,LG전자,53481478000000,33383445000000,20098033000000,1414972000000,2021
245,00435312,하이스틸,259714571728,121886837916,137827733812,11512024632,2021
246,00444329,위메이드,1027300099293,383599172258,643700927035,308090969487,2021
247,00536523,로보스타,124699630183,38614390784,86085239399,1634178209,2021
248,00552859,HLB테라퓨틱스,189711210206,59671893469,130039316737,-17764300601,2021
249,00557933,진도,136444645101,35781861962,100662783139,3568236830,2021
250,00580199,메디톡스,577698379790,174133759260,403564620530,93262649042,2021
251,00583424,아모레퍼시픽,6116713932912,1372414055290,4744299877622,180857693977,2021
252,00631518,SK이노베이션,49557440204000,29924245706000,19633194498000,1317007178000,2021
253,00633835,HJ중공업,2385236000000,1953231000000,432005000000,-139844000000,2021
254,00661847,화인베스틸,183238935517,103741068850,79497866667,2374205660,2021
255,00838962,알서포트,93900528494,10522139636,83378388858,24519445929,2021
256,00842619,레고켐바이오,293233456820,34458706029,258774750791,-23391227602,2021
257,00855163,미원화학,133843309910,13888347755,119954962155,11350187321,2021
258,00904672,넷마블,10663783073696,4656124187351,6007658886345,249178251759,2021
259,00937324,한국타이어앤테크놀로지,11703918122819,3498782297830,8205135824989,604335535937,2021
260,01036446,서연이화,1790525413469,1092786811159,697738602310,29743240654,2021
261,01059605,디와이파워,342046278048,116073402046,225972876002,31055613734,2021
262,01135941,원익IPS,1167585591415,366545866913,801039724502,145116947236,2021
263,01199550,현대에너지솔루션,605558888690,285239400322,320319488368,-6655574104,2021
264,01319808,한일시멘트,2370327907448,911950414994,1458377492454,86015249051,2021
265,00101433,경농,388785779466,151976385644,236809393822,24475007708,2021
266,00103006,고려제강,2474272367565,836162462939,1638109904626,133312251875,2021
267,00103510,인지컨트롤스,543367174652,346845570399,196521604253,2392417371,2021
268,00104388,국도화학,1416366191782,601421179530,814945012252,157086037851,2021
269,00105271,케이씨씨,12878863208936,7502796337015,5376066871921,-53211168479,2021
270,00105961,LG이노텍,7741352841297,4427146647365,3314206193932,888282436433,2021
271,00106614,기신정기,259583134119,15480427091,244102707028,9775236517,2021
272,00111421,휴니드테크놀러지스,267340261645,134159015866,133181245779,13016423829,2021
273,00112378,KR모터스,168436811482,118211175186,50225636296,-11924557643,2021
274,00113492,깨끗한나라,598691300314,369204768817,229486531497,8362663525,2021
275,00113526,대한항공,26671903184202,19806214028703,6865689155499,578782033232,2021
276,00115384,동방아그로,204466925957,57352105712,147114820245,7006595602,2021
277,00117230,TYM,707428247565,458227292748,249200954817,39502410981,2021
278,00118521,진원생명과학,249495328219,44040925311,205454402908,-15951499509,2021
279,00118804,동진쎄미켐,1186189143728,625155643773,561033499955,102879224817,2021
280,00120030,GS건설,15183727264768,10311003421948,4872723842820,428803249577,2021
281,00120562,롯데지주,19921883103681,10292586180274,9629296923407,150433761012,2021
282,00120872,만호제강,258241792947,25179106999,233062685948,865459841,2021
283,00121039,명문제약,223263081737,137389372750,85873708987,-6804256793,2021
284,00122348,방림,257080320409,57282434832,199797885577,7444411735,2021
285,00122825,인스코비,109349945278,43461356421,65888588857,5088299660,2021
286,00125080,AK홀딩스,4548736656905,3346377385610,1202359271295,-199326056742,2021
287,00125521,에스엘,2567493133526,1049018848620,1518474284906,96212544698,2021
288,00125576,체시스,81159742752,47882838179,33276904573,-2311455896,2021
289,00126308,삼성엔지니어링,6058722396874,4098204678539,1960517718335,351071466376,2021
290,00129387,삼화페인트공업,612097736166,316175727485,295922008681,-2425671290,2021
291,00132804,성신양회,1121595052711,707589359217,414005693494,6509058513,2021
292,00133511,SG세계물산,308412903410,64147888831,244265014579,46959184631,2021
293,00135795,신도리코,1022601242833,73933347993,948667894840,95437496353,2021
294,00136402,신송홀딩스,248190231392,152906424644,95283806748,7466832569,2021
295,00137915,에스엠코어,92845267334,24011632396,68833634938,-578450986,2021
296,00140168,지투알,564897384473,403733028471,161164356002,17307682640,2021
297,00142883,우신시스템,309605708018,220358554970,89247153048,-12911457219,2021
298,00143314,에이엔피,82030110765,52058401194,29971709571,-11948327703,2021
299,00144818,유유제약,192985287597,64300209429,128685078168,-920289067,2021
300,00145437,아센디오,68072817657,22883799888,45189017769,-6577827246,2021
301,00146083,일동홀딩스,920762518312,737422939881,183339578431,-134695952279,2021
302,00150244,하이트진로,3631051439683,2537892111011,1093159328672,71771637523,2021
303,00151863,센트럴인사이트,32380760342,10304561462,22076198880,-6586412072,2021
304,00157070,한국단자공업,1125163279036,282995896952,842167382084,62880355775,2021
305,00157399,한솔테크닉스,788670352792,510394100444,278276252348,-9345850145,2021
306,00158963,유나이티드,380032751461,79323819798,300708931663,28648749061,2021
307,00160588,한화,202366402000000,181319145000000,21047257000000,2162057000000,2021
308,00160861,한농화성,216969690984,69259917547,147709773437,19695591321,2021
309,00161383,한미반도체,429285683427,82473641150,346812042277,104438304265,2021
310,00163673,한진중공업홀딩스,1837801000000,1489201000000,348600000000,-7510000000,2021
311,00163691,유수홀딩스,501707092204,93662171614,408044920590,39167182400,2021
312,00172936,동일산업,473764601980,71727779886,402036822094,43781037304,2021
313,00197759,미래산업,117721878977,33079604002,84642274975,7490277072,2021
314,00219097,BGF,1981622039251,248858644100,1732763395151,35977028709,2021
315,00227333,네패스,1104860554018,838039683427,266820870591,-29152270603,2021
316,00245472,티씨케이,389705970637,50193523554,339512447083,81890628054,2021
317,00260392,대원전선,240573775497,152928878651,87644896846,1304381307,2021
318,00260958,케이티알파,391552507240,173340134070,218212373170,-8913078746,2021
319,00269241,주연테크,59714398945,14445524837,45268874108,3115174580,2021
320,00302926,현대로템,4107182672000,2838937571000,1268245101000,51411601000,2021
321,00305668,새론오토모티브,268378497917,29993561554,238384936363,14025569682,2021
322,00353878,다스코,298527299745,173177982800,125349316945,-599608227,2021
323,00356361,LG화학,51135302000000,27925314000000,23209988000000,3953904000000,2021
324,00357740,NHN한국사이버결제,410847594667,248055950167,162791644500,30338297024,2021
325,00360595,현대글로비스,12170928242765,6358516107411,5812412135354,783175862240,2021
326,00361008,HSD엔진,795624726289,586523408202,209101318087,-39738223201,2021
327,00369833,유니온머티리얼,186669511383,102788774092,83880737291,543550735,2021
328,00412597,현대홈쇼핑,2600338275866,717965791564,1882372484302,101664964613,2021
329,00422895,세이브존I&C,564254721215,106318459437,457936261778,7411012891,2021
330,00427483,대웅제약,1415179681074,712772241623,702407439451,30257002685,2021
331,00442835,메타랩스,85034044701,28601817313,56432227388,-14647574283,2021
332,00480950,이아이디,519321206547,261615872818,257705333729,5899625354,2021
333,00481454,금호타이어,4342205985504,3060638117114,1281567868390,-71850672717,2021
334,00500254,GS,31191287000000,16988343000000,14202944000000,1614682000000,2021
335,00520887,비상교육,271514539939,71577714119,199936825820,6033786742,2021
336,00540641,동양고속,168829554468,84315063665,84514490803,-23943626892,2021
337,00545734,아미코젠,411224497266,178350975920,232873521346,4740596369,2021
338,00587466,KPX홀딩스,1814858039334,445438442973,1369419596361,82325362935,2021
339,00613318,와이지엔터테인먼트,621483516064,138720463804,482763052260,22861681902,2021
340,00651901,에어부산,1009737367111,879205856364,130531510747,-265960609370,2021
341,00683469,일진전기,837942610833,514885050517,323057560316,13986184916,2021
342,00759513,LX하우시스,2547391000000,1683973000000,863418000000,12664000000,2021
343,00788773,씨젠,1489718580570,406122212823,1083596367747,537560661012,2021
344,00808022,메지온,83934573674,21141075417,62793498257,-13602674400,2021
345,00857480,사람인에이치알,193598703610,41770247685,151828455925,31821611244,2021
346,00872984,이마트,31242082400946,18841829087123,12400253313823,1589074047501,2021
347,00877059,삼성바이오로직스,7970010786863,2978908646183,4991102140680,393589467655,2021
348,01032486,두산밥캣,8580899465000,4259633657000,4321265808000,385888628000,2021
349,01060814,삼양패키징,612487000000,291246000000,321241000000,30302000000,2021
350,01236532,와이즈버즈,61665195111,21138558874,40526636237,2714624174,2021
351,01258507,롯데제과,2666648726979,1339676736464,1326971990515,36348659698,2021
352,00100939,강남제비스코,904010952337,242083987540,661926964797,47442441436,2021
353,00101044,에이프로젠제약,614621102537,17440224078,597180878459,9151011432,2021
354,00102140,경인전자,65884752780,6287918773,59596834007,3699859217,2021
355,00102751,고려산업,238594901035,131754293786,106840607249,4520564728,2021
356,00105156,극동유화,321935348473,139852066541,182083281932,11007701446,2021
357,00105280,현대그린푸드,3109986792000,899515814000,2210470978000,41339272000,2021
358,00106395,금호전기,83849543774,65486927043,18362616731,-9883907411,2021
359,00108977,대구백화점,486599801677,232567470102,254032331575,-5831920022,2021
360,00109824,대림통상,165802431487,89665370599,76137060888,340647786,2021
361,00111111,대양금속,157542366949,57964910118,99577456831,15243418346,2021
362,00112165,디아이씨,628866348030,496346184821,132520163209,29487084295,2021
363,00113243,대한제분,1321597380773,440979863565,880617517208,87295095400,2021
364,00114765,케이비아이동국실업,568005110934,397931073309,170074037625,-23735748807,2021
365,00117300,TCC스틸,366996614848,211767465634,155229149214,28723275024,2021
366,00118026,동원산업,3051904549495,1565018656224,1486885893271,171466423616,2021
367,00118044,동원수산,100942001219,43921847293,57020153926,7350567816,2021
368,00120021,LG,25669796000000,3729575000000,21940221000000,2683974000000,2021
369,00120508,롯데푸드,1271498705939,485466249172,786032456767,-1046852852,2021
370,00121570,문배철강,209839262364,66845641809,142993620555,25376074458,2021
371,00124504,포스코인터내셔널,10770734147000,7258594219000,3512139928000,356487962000,2021
372,00126201,삼성공조,257514151759,37761206683,219752945076,-2479562400,2021
373,00126487,F&F 홀딩스,2912304832499,597967524975,2314337307524,2017966925649,2021
374,00127167,삼영무역,578816472113,114637439582,464179032531,44918343830,2021
375,00127857,삼익악기,585304799709,331393678443,253911121266,23763505157,2021
376,00127954,CJ프레시웨이,1216483927069,873849328572,342634598497,31105478910,2021
377,00128980,삼호개발,296852077748,76141633135,220710444613,13927522298,2021
378,00129271,삼화전기,158640155782,71761025146,86879130636,15466953819,2021
379,00129420,까뮤이앤씨,195058432986,96246050328,98812382658,-3016566535,2021
380,00129642,상신브레이크,493641121647,305186257724,188454863923,10375223860,2021
381,00130684,서울도시가스,1662601876033,623830583613,1038771292420,8540875496,2021
