기업명,자산총계,부채총계,자본총계,당기순이익,연도
시디즈,84805500508,23355362343,61450138165,12935477217,2021
선진,1.2096E+12,7.79837E+11,4.29761E+11,42407972940,2021
코스맥스,1.41193E+12,9.46544E+11,4.65385E+11,34336481889,2021
현대코퍼레이션홀딩스,2.50985E+11,48800192249,2.02185E+11,11955288419,2021
KCC건설,1.08977E+12,6.47274E+11,4.425E+11,47190335111,2021
금호에이치티,4.58796E+11,1.07986E+11,3.5081E+11,-17808249426,2021
금호석유화학,8.11567E+12,3.03277E+12,5.08291E+12,1.96558E+12,2021
이수페타시스,4.49679E+11,3.24187E+11,1.25492E+11,-3603718792,2021
대성홀딩스,1.24401E+12,6.47102E+11,5.96911E+11,23947536169,2021
대덕,1.72396E+12,3.51055E+11,1.3729E+12,54714530587,2021
DSR,3.02599E+11,1.24579E+11,1.78019E+11,12538612095,2021
NI스틸,3.41057E+11,1.99204E+11,1.41853E+11,22054807252,2021
디아이동일,9.93144E+11,4.19639E+11,5.73505E+11,46334631668,2021
LX인터내셔널,6.74689E+12,4.36264E+12,2.38424E+12,5.40332E+11,2021
BYC,6.84435E+11,2.02622E+11,4.81812E+11,29855489397,2021
팬오션,6.48878E+12,2.89194E+12,3.59684E+12,5.49305E+11,2021
보해양조,1.53117E+11,68867729120,84249034543,-908719386,2021
부국철강,1.50684E+11,30259504634,1.20425E+11,8793809072,2021
부산주공,2.39665E+11,2.16497E+11,23168289946,-11744451098,2021
삼성제약,1.45456E+11,18185604636,1.2727E+11,-40276343542,2021
한화에어로스페이스,1.10458E+13,7.11427E+12,3.93156E+12,3.01762E+11,2021
삼화전자공업,66900329255,49263944386,17636384869,-4123338948,2021
삼화콘덴서공업,2.69299E+11,66356720529,2.02942E+11,28619003326,2021
녹십자,2.46214E+12,9.62388E+11,1.49976E+12,1.3695E+11,2021
SBS,1.46215E+12,7.40552E+11,7.21597E+11,1.44824E+11,2021
서흥,8.09955E+11,3.80086E+11,4.29868E+11,59295136504,2021
성문전자,54386004301,23623581165,30762423136,2973542781,2021
성창기업지주,7.0374E+11,1.64488E+11,5.39252E+11,5938031129,2021
페이퍼코리아,4.97168E+11,4.51787E+11,45381107747,9246301358,2021
팜젠사이언스,2.20324E+11,93391562628,1.26932E+11,32414423208,2021
신라교역,6.80457E+11,1.27921E+11,5.52536E+11,44526706578,2021
신영와코루,3.88669E+11,65750359288,3.22918E+11,6491809139,2021
쌍용씨앤이,3.56476E+12,1.90929E+12,1.65547E+12,1.85957E+11,2021
영흥,5.18961E+11,3.21035E+11,1.97926E+11,9975216972,2021
WISCOM,1.35284E+11,15140908426,1.20143E+11,1211761877,2021
경동인베스트,5.77693E+11,1.3794E+11,4.39753E+11,13891393231,2021
유니온,3.66165E+11,1.82517E+11,1.83649E+11,10374291668,2021
OCI,5.70406E+12,2.58027E+12,3.12379E+12,6.52076E+11,2021
삼성물산,5.52454E+13,2.1893E+13,3.33524E+13,1.82908E+12,2021
모토닉,4.47983E+11,29163386445,4.18819E+11,11970139406,2021
평화홀딩스,5.18123E+11,4.17007E+11,1.01117E+11,-15682644586,2021
한국수출포장공업,3.31847E+11,68488033304,2.63359E+11,15859236394,2021
한국주철관공업,4.2309E+11,76191124416,3.46899E+11,65898905421,2021
유니드,1.34771E+12,3.5462E+11,9.93091E+11,1.82423E+11,2021
KC그린홀딩스,9.06606E+11,6.46639E+11,2.59966E+11,9793621075,2021
KSS해운,1.44623E+12,1.1034E+12,3.42825E+11,56071252425,2021
한온시스템,8.23373E+12,5.75707E+12,2.47666E+12,3.10725E+11,2021
한세예스24홀딩스,2.24127E+12,1.29192E+12,9.49352E+11,75870159104,2021
현대미포조선,3.87832E+12,1.67402E+12,2.2043E+12,-1.60109E+11,2021
화천기공,4.25437E+11,1.17088E+11,3.08349E+11,9313607545,2021
넥센,4.57229E+12,2.4555E+12,2.1168E+12,29421638925,2021
흥아해운,2.47299E+11,1.44359E+11,1.0294E+11,16436494237,2021
코웨이,3.80063E+12,1.89619E+12,1.90444E+12,4.65486E+11,2021
유성기업,4.09968E+11,1.04854E+11,3.05114E+11,10346413405,2021
콤텍시스템,3.4914E+11,1.81589E+11,1.67551E+11,4655797485,2021
삼원강재,2.7068E+11,51952908280,2.18727E+11,8804033367,2021
한전산업,1.6332E+11,78116901515,85203578151,8559250123,2021
JW생명과학,2.18725E+11,87974591257,1.3075E+11,12172061364,2021
LG유플러스,1.93705E+13,1.1412E+13,7.95856E+12,7.24218E+11,2021
롯데관광개발,1.30242E+12,1.24974E+12,52687666051,-2.00696E+11,2021
코오롱플라스틱,3.69095E+11,1.48545E+11,2.2055E+11,21756914883,2021
이지홀딩스,2.3134E+12,1.38317E+12,9.30231E+11,9207549180,2021
에스엠,1.31494E+12,5.265E+11,7.88442E+11,1.33225E+11,2021
엔씨소프트,4.58189E+12,1.43066E+12,3.15123E+12,3.95735E+11,2021
KG이니시스,1.43009E+12,9.16916E+11,5.13173E+11,62089717150,2021
에스티큐브,25860868897,9696432069,16164436828,-21529904686,2021
안랩,3.38208E+11,83518898391,2.54689E+11,42037337329,2021
우진플라임,2.76361E+11,1.94241E+11,82119740562,22511894621,2021
한국정보인증,2.65345E+11,57812234191,2.07533E+11,12550957163,2021
한국항공우주,5.85522E+12,4.55778E+12,1.29744E+12,53272528569,2021
현대바이오,80528215833,18957443929,61570771904,-20051086939,2021
현대바이오랜드,1.72744E+11,47394338751,1.2535E+11,-11686160416,2021
세아홀딩스,5.53777E+12,2.67498E+12,2.86279E+12,1.33615E+11,2021
종근당바이오,2.9854E+11,1.37049E+11,1.61491E+11,-6576601338,2021
KG모빌리언스,4.91221E+11,1.94448E+11,2.96773E+11,29378687839,2021
크리스탈지노믹스,3.32927E+11,1.18301E+11,2.14626E+11,-18340448280,2021
유니퀘스트,4.90332E+11,1.81824E+11,3.08509E+11,60395383783,2021
세진중공업,5.70404E+11,3.6721E+11,2.03195E+11,14059998585,2021
대호에이엘,1.45025E+11,76000081956,69025180108,-3042735063,2021
농심홀딩스,1.32864E+12,2.89723E+11,1.03891E+12,49163434609,2021
LX세미콘,1.17253E+12,3.72198E+11,8.00333E+11,2.96424E+11,2021
오이솔루션,2.01839E+11,42539273118,1.59299E+11,14371772005,2021
고영,3.68329E+11,87929904850,2.80399E+11,39586268577,2021
LF,2.54114E+12,1.04277E+12,1.49837E+12,1.36154E+11,2021
동성케미컬,8.18796E+11,3.61793E+11,4.57003E+11,42391509833,2021
한세실업,1.21624E+12,7.51824E+11,4.64417E+11,67340655868,2021
와이솔,4.26785E+11,61667449622,3.65117E+11,27035739160,2021
인크로스,2.30365E+11,1.37356E+11,93009383881,21114722342,2021
슈피겐코리아,4.43928E+11,61838226624,3.8209E+11,45061966824,2021
애경케미칼,1.24497E+12,5.55841E+11,6.89125E+11,77289491625,2021
메가스터디교육,7.24298E+11,3.70171E+11,3.54127E+11,81544834223,2021
씨아이에스,3.19225E+11,2.02953E+11,1.16272E+11,-24607696621,2021
현대건설기계,3.55429E+12,2.00648E+12,1.54781E+12,1.26434E+11,2021
현대일렉트릭,2.21497E+12,1.56875E+12,6.46222E+11,-33686739374,2021
솔루스첨단소재,1.0116E+12,4.89392E+11,5.22207E+11,154872778,2021
고려아연,9.96405E+12,2.22981E+12,7.73423E+12,8.11106E+11,2021
플레이그램,1.29521E+11,77794237641,51726900022,-18015508627,2021
국일제지,1.41109E+11,73386346414,67722856890,-8235569552,2021
금강공업,8.68659E+11,4.81988E+11,3.86671E+11,22029790838,2021
기아,6.685E+13,3.19374E+13,3.49126E+13,4.76031E+12,2021
인디에프,1.25281E+11,87338281443,37943011834,-20111635209,2021
남양유업,9.37403E+11,1.24442E+11,8.12961E+11,-58891078360,2021
엔피씨,4.9998E+11,1.76774E+11,3.23206E+11,26181241315,2021
태경케미컬,1.60746E+11,19762173299,1.40984E+11,10914685864,2021
대한방직,2.32612E+11,93144325550,1.39468E+11,1555720538,2021
노루홀딩스,1.05554E+12,4.72E+11,5.83537E+11,10707789673,2021
덕양산업,5.23564E+11,4.59787E+11,63777587446,1602088914,2021
동국제강,6.33411E+12,3.5517E+12,2.78241E+12,5.58596E+11,2021
효성,5.25787E+12,2.2656E+12,2.99227E+12,5.40587E+11,2021
롯데칠성음료,3.59683E+12,2.15177E+12,1.44506E+12,1.37077E+11,2021
무학,6.46644E+11,1.48104E+11,4.9854E+11,-16036159365,2021
사조산업,1.11386E+12,5.48108E+11,5.65748E+11,55325013372,2021
SGC에너지,2.59155E+12,1.85213E+12,7.39417E+11,98486293116,2021
삼성에스디에스,1.05174E+13,3.07373E+12,7.4437E+12,6.33381E+11,2021
삼천리,4.24531E+12,2.78518E+12,1.46013E+12,71110071514,2021
갤럭시아에스엠,40900713401,7850471270,33050242131,3681735226,2021
SHD,71036421199,30435746887,40600674312,5792585283,2021
써니전자,77185258102,9012295478,68172962624,4503538293,2021
S-Oil,1.86932E+13,1.17052E+13,6.98804E+12,1.37854E+12,2021
SGC이테크건설,5.91722E+11,3.87467E+11,2.04255E+11,69577003929,2021
오뚜기,2.60584E+12,1.06739E+12,1.53845E+12,1.29978E+11,2021
유한양행,2.46381E+12,5.27923E+11,1.93589E+12,99126677873,2021
현대제철,3.70423E+13,1.87819E+13,1.82604E+13,1.50515E+12,2021
일신석재,91890079585,39637444370,52252635215,-61496553,2021
전방,3.83313E+11,2.39288E+11,1.44025E+11,159907246,2021
제일기획,2.54211E+12,1.41484E+12,1.12727E+12,94479101401,2021
대유에이텍,1.321E+12,1.1313E+12,1.89701E+11,-2852371609,2021
진흥기업,3.34617E+11,1.63664E+11,1.70954E+11,53413211910,2021
인터지스,3.88582E+11,1.81666E+11,2.06916E+11,13786426550,2021
천일고속,62706049934,26777803079,35928246855,-567981626,2021
포스코케미칼,3.92248E+12,1.48405E+12,2.43843E+12,1.33762E+11,2021
한국주강,50194779569,22132881731,28061897838,-1818818687,2021
한독,8.41562E+11,4.57565E+11,3.83996E+11,3288807244,2021
한올바이오파마,1.98478E+11,34985661619,1.63492E+11,8896137176,2021
한일홀딩스,3.26383E+12,1.3337E+12,1.93013E+12,91582087557,2021
한진,3.87762E+12,2.50365E+12,1.37397E+12,1.61833E+11,2021
현대모비스,5.14825E+13,1.61251E+13,3.53575E+13,2.36247E+12,2021
E1,3.99933E+12,2.62592E+12,1.37341E+12,1.38568E+11,2021
화천기계,1.55923E+11,30111089586,1.25812E+11,5379750673,2021
신흥,1.38612E+11,37195201135,1.01417E+11,13449679792,2021
다우기술,4.63224E+13,4.1706E+13,4.61647E+12,9.14189E+11,2021
디씨엠,2.86896E+11,51347298046,2.35548E+11,50754929691,2021
대주전자재료,2.98387E+11,1.66476E+11,1.31911E+11,22969305215,2021
SK,1.65381E+14,9.98157E+13,6.55651E+13,5.71842E+12,2021
KH 필룩스,5.39371E+11,1.12111E+11,4.2726E+11,-1715811782,2021
코엔텍,1.9415E+11,38682955061,1.55467E+11,29649870722,2021
HLB,7.43692E+11,2.31507E+11,5.12185E+11,-1.11607E+11,2021
코스맥스비티아이,9.54665E+11,6.12768E+11,3.41897E+11,4343190417,2021
SNT홀딩스,2.37232E+12,5.92194E+11,1.78013E+12,1.51815E+11,2021
나노엔텍,62455233679,10114071117,52341162562,7320536717,2021
케이티앤지,1.16373E+13,2.42841E+12,9.20886E+12,9.71759E+11,2021
주성엔지니어링,7.11899E+11,3.42264E+11,3.69635E+11,1.45503E+11,2021
JYP Ent.,3.17418E+11,66768917247,2.50649E+11,67500729976,2021
