종목코드,종목명,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
021320,KCC건설,228465027472.52747,160274431818.18182,135508620129.87013,142969779761.90475,184587101190.4762,199992914335.66437,187618130952.38095,187508605602.7306,150605047619.0476,141359003205.1282,207863159840.15985,219029000000.0
036670,KCI,29190041208.791206,30118660714.285713,61802202380.952385,103828596428.57143,129599172916.66667,100175832517.48251,90069772916.66667,98826664714.45221,117193577083.33334,106559965705.12822,105781376835.66432,99055250000.0
009070,KCTC,48262912087.912094,49318344155.844154,55438555194.8052,91433928571.42857,98418750000.0,100042301448.55145,87129017857.14285,85962387612.38762,95820089285.71428,76023179945.05495,207602659840.15985,177900000000.0
068060,KCW,14669505494.505497,19957823376.62338,27801225974.025974,37052066666.666664,48496304761.90476,,,,,,,
009440,KC그린홀딩스,60692168010.43956,55681180191.72078,160645079423.10608,206951339468.45236,217929790098.2143,171298328368.7063,139733201474.40475,101726343165.04745,104822436241.9643,87886311956.91393,110786665573.22678,94130766085.71428
119650,KC코트렐,109809865384.61539,94108204545.45454,115265422077.92207,75943750000.0,80622916666.66667,64167694805.19481,67665193452.38095,58311580086.58009,90007589285.71428,83934255952.38095,111291695054.94507,105801142857.14284
092220,KEC,112080750020.7857,102717830430.02112,46735229468.05249,63598250238.28571,74162459886.42857,79804923183.99402,116772088500.19347,140299417247.15338,130166049680.74405,164551682143.23718,335227715436.9668,429074846535.7143
109070,컨버즈,12415021639.34066,10055810448.5,8556911985.714286,11295637962.797619,86807947732.61905,51796275337.062935,28949082806.636906,82271194726.00836,59413415058.33333,27207173203.75,62672027976.78571,71952027500.0
001390,KG케미칼,82231998626.37363,94967537337.66234,169098359036.79654,178487357247.91666,201142626507.14285,164799588998.7013,207878962573.9583,306141428530.38837,165806807200.0,217879578108.7912,440121367087.013,412565877771.4286
060720,KH바텍,187522637362.6374,149175584415.5844,377663852813.85284,407854761904.76196,388241666666.6667,270537712287.71228,241881547619.0476,210364867862.91833,273969370647.0238,473542922617.51373,544194329682.811,491306921500.0
001940,KISCO홀딩스,132980445696.42857,133451953315.90909,145617519767.2619,175309502341.0714,222947218882.14282,230821483802.59738,260788604777.38095,242716957018.34415,245015495136.9048,215569060607.7381,340782847224.02594,317661761857.1429
083470,이엠앤아이,21245248026.20879,24991962684.480515,35568317587.88149,39255161418.16965,51920778757.5,80781141727.49564,54481764698.57143,24260817759.55216,9560730123.0,34655650602.5,38201825393.75,51129149960.0
058400,KNN,76938211049.83516,93420783110.84416,109979263574.25325,99624592366.78572,100121597952.85715,144046938585.4795,144744501551.7857,124128963521.85065,162835347230.35715,207338524418.04944,230796243807.7672,177455824800.0
083420,그린케미칼,68512225274.72527,76840746753.24675,94493587662.33766,119388690476.19048,95046428571.42857,85900761738.26173,89492857142.85715,86300054112.55411,72746250000.0,119132692307.6923,271789540459.54047,236142857142.85715
114450,KPX생명과학,45543440934.06593,49155194805.1948,61723721590.90909,45505133928.57143,57357366071.42857,87928021978.02199,66221875000.0,88833004495.5045,80329687500.0,119237259615.38461,134056131368.63138,99396428571.42856
025000,KPX케미칼,265038200549.45053,258357000000.0,300165773809.5238,290287642857.1428,267968904761.90472,267758917582.41757,324511916666.6667,302338948717.9487,271460619047.61902,235633870879.12088,297030461538.46155,259631428571.42856
092230,KPX홀딩스,203573388199.45053,181064829882.3052,191825103831.11472,266835430969.64285,296477106401.1904,268347952362.53745,280471230335.7143,267933919821.13306,241696272599.40472,199413349880.95236,276190399920.25476,257099885142.85715
025850,한화화인케미칼,121552760989.01099,106362987012.98703,71213244047.61905,70791398809.5238,72834375000.0,68325000000.0,,,,,,
044450,KSS해운,47188839328.84615,70581808498.05194,126664286789.39392,158348864532.7381,194178294720.2381,191932254280.99405,209026918703.5714,176872526257.45923,169071989004.7619,195050153875.4579,270651284604.14587,265156695714.2857
030200,KT,9777381864369.23,8774204514410.389,9168154128845.021,8260963681523.81,7629826911085.714,7860541430997.802,8139966334780.953,7528350997840.56,7227784667428.571,5955073827633.699,8106318463360.64,8882464182857.143
033780,KT&G,9453512502564.424,11125640135950.324,10388120146316.531,11732787972791.666,13497037420103.87,15765886512702.422,15043784497912.799,14145241851249.75,13941154131381.549,11094736180071.75,11340565985212.488,11116769614228.572
030210,KTB투자증권,174468038748.15933,137244912170.97401,175879466077.77597,134705959788.98811,166006460449.8214,170205042039.56046,217053543522.73807,256603177490.85706,167062854590.9524,151072578043.61722,371985204160.25977,309712862420.0
036030,케이티알파,244345302197.80222,225003287337.66235,322973809334.0963,284166147364.1667,382986211807.5,275318666433.46155,226190887545.0,195358617037.04108,187350801120.0,175427968981.73077,382365697422.4126,324402612139.2857
058850,KTcs,97394855563.1868,99716516558.44154,136491786519.20996,139028131994.0476,155608421577.38095,114080672977.02298,104510919494.04762,102849315609.39061,95550880654.76192,79998853027.70146,124043526810.68932,99684719642.85716
043610,지니뮤직,63199179892.355774,85480498075.625,124354980230.78868,233740570929.31543,208273333267.753,168319892973.03195,227952035848.63095,282098484924.75397,233469259221.27975,188563042507.44504,353925339715.2248,314300742012.1429
060370,KT서브마린,58746449175.82418,66215147727.27273,75978571834.41559,121792026785.7143,110720142857.14285,118805640359.64037,103643379464.2857,94224116446.05394,83270513392.85715,96194496565.93407,135262801198.80121,127223357142.85716
003550,LG,11691717444257.006,10877233995157.305,11202655454707.143,11031176805775.89,10863755303674.703,11003393771703.11,13714029342513.986,13151955589362.791,12918366357221.43,12359835110605.746,14821206241531.855,11671733680600.0
034220,LG디스플레이,9615879158179.945,9832060966339.285,10083422623125.0,11188023698303.572,9566777800446.43,9849681423543.957,11436151847410.715,7545397987345.468,6122375716875.0,5015588188784.341,7929813421112.637,7117976603571.429
001120,LX인터내셔널,1818312527472.5276,1788534896103.8962,1320255683441.5583,1075082428571.4286,1350336107142.8572,1347344404345.6543,1136210178571.4285,870624396603.3966,647684214285.7144,621478975824.1758,1136300850899.1008,1262330142857.1428
068870,LG생명과학,673821626143.544,646581996559.2532,825696687467.3971,597339007217.262,955118307608.631,1102256396057.4426,,,,,,
068875,LG생명과학우,4559666415.934066,4647818227.272727,5445846117.965368,5246596388.095238,8688952471.428572,10030796809.79021,,,,,,
051900,LG생활건강,7128012098682.693,9443558028579.545,8702441620448.863,7967232744625.0,13103713765729.168,15003464532041.084,15165269287000.0,19326608311105.625,20500742871666.664,21549579172583.332,22336527876726.4,13316744113500.0
051905,LG생활건강우,219839141159.75275,343866286938.31165,434571663468.75,538944101843.75,839535099598.2144,1132859947479.021,1270135461151.7856,1512712999333.916,1650574311339.2856,1466292731298.764,1424738806473.0269,1065446249142.8572
003555,LG우,83586319184.06593,72800476951.70454,106039620255.54654,136350619510.41667,129734583409.07736,140258313804.7827,154647932503.72025,143029416338.54477,156391590717.2619,167964275512.45422,213440106982.4925,181815192000.0
032640,LG유플러스,3130703150595.9478,3197489657563.3765,4709916705400.422,4744614077952.619,4699510565035.03,4885557364881.025,6412664392758.779,6654728899109.4,6280446517813.095,5051382537893.693,6151921138424.819,6025236781800.0
011070,LG이노텍,1720280194757.967,1818225136842.0454,1684204414690.3408,2682821906588.6904,2401457675842.5596,1937284815802.5098,3569718201348.2144,2929229876564.793,2682194645066.369,3556648193219.6885,5867418064434.689,9087323834178.572
066570,LG전자,11662726733880.492,12191469914760.715,12043009113802.38,10963819081521.428,8504815857345.238,8812199775176.1,13940309812766.072,13573219714777.84,12040290505636.902,12797577508650.504,23762856028406.594,20017634391071.43
066575,LG전자우,493805721921.4286,364800579537.66235,437922883594.80524,568457374671.4286,445861407632.1428,484596687084.8152,688830926971.4286,586131408354.4207,513948113735.7143,532955199233.24176,1206546345501.099,1006853617028.5714
093050,LF,1150224483516.4834,975424564935.065,875475346320.3464,863241380952.3809,887999654761.9048,673500387112.8872,793996535714.2856,788170839368.9644,629895738095.238,376115498992.67395,529298952797.20276,524231428571.4286
108670,LX하우시스,674978536287.0879,662402185396.104,1026304216728.355,1649344008407.738,1430063125312.5,1035990300717.7822,896337299145.8334,623333170810.1067,539936471431.5476,518378751177.88464,711523359311.5634,557468800071.4286
108675,LX하우시스우,24651629169.642857,21557011156.65584,38801041980.11363,90693877392.85715,86857358133.92857,72188227714.28572,58846189651.78571,40427675045.0487,30496595129.464287,26172708812.5,37983820478.08441,31626166928.57143
051910,LG화학,25706086325000.0,21748432176136.363,18618691619223.49,16370342347916.666,18028204642708.336,17732166006075.176,23886684062625.0,25830875908827.89,23701169065991.07,39809136109289.836,54160317903952.3,35026407903535.715
051915,LG화학우,1016773788278.8462,770501205620.7792,949723467085.1189,1261178707934.524,1456000007459.8215,1430661805778.0967,1699602375000.0,1604607417424.2424,1427016108333.3333,2103447441666.6665,2733259904195.804,1980689800000.0
002550,KB손해보험,1432207417582.4175,1486017857142.8572,1550622564935.065,1708446428571.4285,1529991071428.5713,1729143356643.3564,1971962500000.0,,,,,
079950,인베니아,83885686813.18681,61277000000.0,104384683982.68399,112535880952.38095,92330476190.47618,114218165834.16583,114718130952.38097,80830339327.33932,71885821428.57143,46052239010.98901,59633850149.85015,59690285714.28571
006260,LS,2977597692307.6924,2863808409090.909,2506222007575.7573,2184846666666.6667,1399147500000.0,1788564641608.3916,2304187916666.6665,2199199316724.942,1588169166666.6667,1551365480769.2307,2058967639860.14,1666350000000.0
000680,LS네트웍스,364172373839.93134,355580085682.2078,355516380478.33606,352347932341.6667,320562020549.9405,257138316945.37085,238050777500.0,234474947961.22128,220793855127.14285,169381832965.7967,274953248463.2967,273277601914.2857
000685,LS네트웍스우,1039608022.5274725,641269249.6753247,625703430.2489178,1164722678.5714288,,,,,,,,
000687,LS네트웍스전환상환2우B,12740516932.32143,7719276529.821428,6283816491.712663,5715041103.794642,4489074895.218254,,,,,,,
010120,LS ELECTRIC,2017829670329.6702,1988181818181.818,1894969967532.4678,1903330357142.8572,1500535714285.7144,1321938686313.6863,1665044642857.1428,1978080575674.3257,1498875000000.0,1466096840659.3406,1795494005994.0059,1380964285714.2856
086960,한컴MDS,56861005251.42857,118955611265.99025,125288606028.62553,186944040625.74402,215685933254.4643,171376374489.56046,179037702289.2857,153843032509.37396,114149171828.57143,101316280757.8022,165562575846.95306,180354072800.0
023150,MH에탄올,19201971153.846153,23488238636.363636,23054734848.48485,50044071391.36905,74523771396.96428,58540689032.485016,54008175132.14285,44792904767.82717,46496352546.36904,59186217918.049446,81954913621.64337,70180323011.42857
078150,HB테크놀러지,44388446025.48352,43832766203.07792,91023219833.4226,126352453336.1607,111080399246.5625,288319381651.31866,343350860731.6072,234897886176.84253,260581422295.1786,167595332285.52197,216004784519.3781,192708428573.57144
035420,NAVER,9802086175730.77,11973719604740.26,16996934912291.395,25695585519035.715,20054994229977.68,24678517283677.08,27453300756068.457,23536404156848.473,23815045061443.45,40923916541759.96,64335711358580.17,55284541645000.0
016420,NH농협증권,368144735822.74725,337633139826.0227,517307658478.58093,792532029126.8452,,,,,,,,
034310,NICE,192161652667.30768,186940972320.2922,401831782461.5801,538824982276.78577,821217234687.5,729158586088.9111,613439583883.9286,675465700409.9026,768644268943.4523,706282440559.7527,669265714216.4086,646704978571.4286
030190,NICE평가정보,163015955720.87912,145575115697.24026,171102444927.5974,235618676317.2619,572020339857.1428,455813857530.24475,498528302826.7857,625777836401.4194,847522870550.5953,1108290103468.8645,1328898276369.7554,1162688803000.0
008260,NI스틸,58647559188.18681,49083386683.44156,50384668813.17641,76081164479.91072,70748168974.70238,83178833847.99574,106599841462.7976,84696572682.75027,71433048177.29167,57386612738.64583,120499225092.21591,141723794062.5
010060,OCI,7965012263318.68,4840822207073.863,3934613862968.75,3462225964518.75,2115623756404.1667,2080793290777.2727,2450700320927.083,2885877879578.598,1940139232822.9167,1268236713102.0833,2917314445892.0454,2596174386000.0
036490,SK머티리얼즈,1063311204901.2361,517821396774.5941,351768033738.3929,460070033291.9643,1124105693221.4287,1463172724388.8862,1899309431707.1428,1765860776937.475,1783533024590.1785,2304013116362.2256,3840534448358.766,
024940,PN풍년,12496428571.428574,13880032467.532469,14682386363.636364,30477678571.428574,41198809523.809525,34599331918.08192,29768005952.380955,27993690684.315685,24315625000.0,27981353021.97802,65947496253.746254,63664285714.28571
005490,POSCO,37446506108228.02,32325085224529.223,28095049382552.082,26411642858556.547,18119033117693.453,19687479785895.35,26396981977075.89,26818953883055.17,21219614937380.95,17479543232224.129,28035396044073.742,25495921606428.57
091340,S&K폴리텍,23698317994.505493,21182708603.896103,21246703733.766235,21222668154.761906,28928481587.94643,33758322220.72927,48864416600.17857,48874270484.08935,72126270612.67857,61670598194.31548,65737263686.71329,61126862822.85714
100840,SNT에너지,116656213816.2088,138487488159.4156,126761554388.25758,117639349705.35715,166588536485.11905,148308363452.97202,119786872717.85715,100990143591.29205,118616887029.4643,110846864959.82143,152382577434.25323,143029654232.14285
064960,SNT모티브,363792798584.2033,266612303434.0909,388286604492.64075,490283114668.1548,962793479825.5952,872282762787.6373,701527541104.7618,483614206338.46155,653773862604.762,619039897259.707,847205481389.011,639971101942.8572
000040,KR모터스,71119265360.71704,73517001768.06818,57222576763.79275,109041436590.4137,189122432025.32736,184466662181.66208,115752199333.88689,73169604197.62286,84779042670.75893,66197712573.83929,108648671625.73428,83488437153.14285
003570,SNT중공업,517025769825.7555,440560715485.1461,420336862159.8755,332395608778.36304,419955984567.7083,343456252151.943,284149356549.7916,230427144960.978,227127636956.66663,176761075201.73535,306654436699.4343,277565012244.2857
036530,SNT홀딩스,195389818957.48627,159484877304.8052,232884941936.66125,272097083790.9226,400517151565.7738,315027121928.0907,257255695942.7083,211508181477.6203,234181545889.5833,234075914027.44965,313837386206.21875,267966012042.85715
010950,S-Oil,14157301558669.23,11873975481963.637,9017202365319.697,5997864997191.667,7625540764566.667,9283074004806.293,12259093311383.334,13109202580920.629,10515701867766.668,6898410059450.0,10630495170213.986,10147730373200.0
010955,S-Oil우,257165769125.0,243289367617.04547,227576756542.61365,159334742815.625,167382187821.875,214377247156.8182,354869222635.4167,365445112720.644,239663757124.99997,140621364707.29166,226148515420.45453,215101274375.0
019660,글로본,14901897693.173077,28621572683.55195,12378299116.012445,17953669983.348213,67884611671.190475,173384420159.3694,96178596258.0357,117947565825.97372,92098596838.77977,75398465736.62775,129527644754.99811,86932710788.57143
034120,SBS,597458657649.7252,669542338894.9675,786285774351.4609,560145123231.25,675508503482.1428,487731191358.2668,468963697972.3214,405732982453.41534,386460397637.5,311537894380.3571,787377138046.6782,749203303307.1428
101060,SBS미디어홀딩스,471313723081.7308,750717929587.5,721630990829.8296,566277710161.4584,600046402095.8333,416137009631.993,407955609779.1667,356426029716.84875,304041052933.3333,252748345467.94873,284435263418.61884,
046140,SBS콘텐츠허브,301074010076.23627,283022756815.74677,300360558934.3209,352874258921.875,335163632065.47626,220490479739.67285,181707518167.11307,147248030325.88608,128928891940.625,123400601521.03937,168096462478.8836,165943942371.42856
099220,SDN,161393406593.40656,89333720454.74025,37251110638.097946,32588186203.035713,35880683520.05357,55654442414.28322,55818173584.5238,68947733122.1441,81334803825.2232,139246472275.65704,130311944582.30394,117811351057.5
040610,SG&G,62601041807.85715,71995367460.71428,122561592276.9643,138181985284.88098,121592375981.60713,123551698047.14285,123322605528.57143,87773043422.20238,71493328360.5357,44897566262.21429,92007335357.14285,91901515215.71428
049470,SGA,15850108652.472528,41734242844.28247,37661313370.38555,38778399573.5625,79612349425.9643,104968432809.8514,90161590335.93452,68570190056.29851,42662124768.7381,30283412220.247025,59186387417.22527,57903042029.64286
