,corp_code,corp_name,stock_code,account_nm,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
34,00176835,농우바이오,054050,부채총계,67331820192.0,65489946315,58109536780.0,35598311026.0,65238577639.0,53358178922.0,40703434969.0,35761581670.0,22092053616.0,14987276246.0,19562597617.0
35,00148948,조비,001550,부채총계,50521009807.0,36652318324,43723280752.0,45775103439.0,47051308630.0,51143477221.0,55338632185.0,54820893972.0,50654325114.0,66310371970.0,73456289509.0
36,00549891,케어젠,214370,부채총계,16965547103.0,11314026520,14970961506.0,14266470810.0,11425606293.0,10980927224.0,,,6097444922.0,,
37,00126478,삼성중공업,010140,부채총계,8041328855444.0,9203939004269,8351155863402.0,7536612429439.0,8020660443379.0,10942151906389.0,13035846228181.0,11549072786819.0,11581350720238.0,11352017511963.0,11769950268868.0
38,00134510,세종공업,033530,부채총계,777174141277.0,770626000365,614829951634.0,509643298783.0,519712285602.0,553081269848.0,521155871783.0,480131589173.0,341345837380.0,360669869627.0,362798583395.0
39,00823429,한국화장품,123690,부채총계,26536427499.0,45859374905,46114503703.0,42242933148.0,40085750137.0,43607503021.0,31418808297.0,40788510274.0,85008411479.0,73461770791.0,63615959504.0
40,00138729,아세아제지,002310,부채총계,255172404299.0,248826738134,263353496904.0,278850766025.0,306123213533.0,259817019935.0,214133385878.0,233321779317.0,246339295196.0,221643777716.0,237540176703.0
41,00132211,SUN&L,002820,부채총계,397875440889.0,325109521157,326752710109.0,370234851237.0,350240944671.0,295354758215.0,290639989574.0,255674068417.0,254663055457.0,188394116133.0,222494621735.0
42,00160375,진양폴리우레탄,010640,부채총계,18619836523.0,17883675068,16812694359.0,15980896202.0,17117489399.0,17202773639.0,8937898436.0,6277275830.0,7054506556.0,6727032870.0,7362050671.0
43,00121941,대상,001680,부채총계,1623307568831.0,1426785228478,1374881483464.0,1270279648421.0,1367990333347.0,1441190069977.0,1286057897235.0,1030343930756.0,1025912356595.0,995149594298.0,1018521291235.0
44,00124726,빙그레,005180,부채총계,202369499606.0,174607300847,113783206589.0,108852814244.0,106776945833.0,101995297760.0,99825437838.0,94840417664.0,96688487857.0,,
45,00260383,대한유화,006650,부채총계,449738749493.0,233430644306,247864385471.0,282816338799.0,497378335834.0,470579722974.0,493476468950.0,598303884369.0,564922950703.0,532395879692.0,502991840609.0
46,00181299,상아프론테크,089980,부채총계,137966529163.0,133328732305,104512905708.0,119838375154.0,110436943251.0,103574101915.0,88211963620.0,70479328689.0,63097496530.0,45545905497.0,40523882828.0
47,00103592,광동제약,009290,부채총계,356600480140.0,328461745965,345318812800.0,301218199947.0,306398535532.0,280100926464.0,286058762761.0,128132305516.0,134852988609.0,122163489486.0,72164733341.0
48,00173944,우진,105840,부채총계,70225425898.0,73838366291,67143964186.0,80001984352.0,53128300216.0,57924451880.0,67062621462.0,59831646428.0,30932632734.0,25427158339.0,22293338161.0
49,00406046,STX중공업,071970,부채총계,276445468016.0,293443429841,317544514598.0,400767376559.0,583314859134.0,1461297437652.0,1313108366845.0,1488676540731.0,1698333123024.0,685245686711.0,772301263542.0
50,00414850,효성 ITX,094280,부채총계,138085361213.0,112273681131,107614359480.0,73641931968.0,85065810535.0,69243924740.0,69568421409.0,63986322872.0,56895391910.0,43827291955.0,40165249497.0
51,00632304,JW홀딩스,096760,부채총계,760956330503.0,789222442962,891301821010.0,876732591747.0,976649665700.0,919038932867.0,812556923772.0,822989888174.0,778416998862.0,871669889319.0,848163133363.0
52,00148993,하이트진로홀딩스,000140,부채총계,,2844595889181,2854140489866.0,2893499586106.0,2924378121181.0,2763614524948.0,2957326315394.0,2923750012048.0,3023864400505.0,3093585313520.0,3352475144454.0
53,00413046,셀트리온,068270,부채총계,1623747845677.0,1592540899881,986733418125.0,907848812346.0,883598310539.0,822974206572.0,938389810418.0,974603694147.0,891376233855.0,682765147596.0,507766813976.0
54,00122551,백산,035150,부채총계,183147956688.0,168664435422,188355179866.0,156642322898.0,66806243782.0,63716322366.0,67008236081.0,70972376070.0,57125762122.0,68174565433.0,69910317018.0
55,00104786,미래아이앤지,007120,부채총계,28587955823.0,2854065391,2716719743.0,2436861227.0,3120271293.0,2877965269.0,2975551026.0,11025578042.0,15049727431.0,12191251420.0,17098149291.0
56,00113535,대한해운,005880,부채총계,2341620168689.0,2492265618065,2445671729223.0,2153447841253.0,1898735173502.0,1578446306399.0,948563996124.0,801814165853.0,818357274499.0,1590404381894.0,1617924419245.0
57,00171265,파라다이스,034230,부채총계,1957355763818.0,1879962245119,1866151021754.0,1524675674151.0,1141985104486.0,998353137328.0,707354139231.0,423704238791.0,340378453090.0,308666034311.0,181810364799.0
58,00134565,이스타코,015020,부채총계,31761979271.0,21867550161,30011584795.0,45937366578.0,48837070627.0,75070910811.0,63762493163.0,21838226299.0,40468378053.0,43793383624.0,35134343565.0
59,00128971,DL건설,001880,부채총계,711709962529.0,696525414351,393877294304.0,428472434911.0,449220991224.0,481081133268.0,523667268822.0,511834697009.0,565610438758.0,557543876378.0,521569670751.0
60,00187415,코미팜,041960,부채총계,42855825154.0,43811850764,49478644030.0,41916874470.0,41964047649.0,50542293805.0,57259368266.0,71238937743.0,64076821424.0,36412445705.0,24881314849.0
61,00648721,SNT에너지,100840,부채총계,87294231899.0,99578946528,88942324810.0,49715044087.0,66449367739.0,118242778178.0,84796156422.0,96799311809.0,113510608112.0,109495724212.0,115915975965.0
62,00292434,인트론바이오,048530,부채총계,52016232592.0,15156629886,24013463565.0,15650370016.0,15331792355.0,10456266469.0,5927991777.0,15011548325.0,5722508266.0,7715782258.0,10414322737.0
63,00144164,SK가스,018670,부채총계,3004172079944.0,2600204914605,2421595551264.0,2112825033442.0,2568305687438.0,2359619397619.0,2452408101688.0,1931793485583.0,1509553862441.0,1915600740967.0,1217479882194.0
64,00828789,대성산업,128820,부채총계,1191520576364.0,615662691860,645078322775.0,641403854791.0,710473986537.0,908361397381.0,955126843142.0,1856194535520.0,1825784750394.0,2038716861649.0,1716011333832.0
65,00300548,현대리바트,079430,부채총계,374591023346.0,322270196895,294855425403.0,231521676527.0,269113059088.0,142446712705.0,133465273011.0,126290889166.0,139721785142.0,,
66,00155355,풀무원,017810,부채총계,1379581562516.0,1180634649404,1021454494037.0,771253012977.0,727198945178.0,695146771467.0,645598327137.0,718874352185.0,709052994441.0,736350187509.0,637630865031.0
67,00127255,삼영화학공업,003720,부채총계,67128160214.0,63239099924,62659935033.0,58881796689.0,58221544841.0,60348498438.0,62589497676.0,66261709094.0,61869599044.0,71478675712.0,82952796381.0
68,00369170,인터플렉스,051370,부채총계,176992311644.0,157942130072,133561263393.0,123911707657.0,197267856704.0,178798824483.0,228987955052.0,269955414160.0,336211106188.0,574969564799.0,241534308827.0
69,00152686,코리아써키트,007810,부채총계,412634244757.0,355403556221,88409021075.0,112712773428.0,141131954600.0,129598503678.0,128220378756.0,145144840705.0,155149497567.0,175570963084.0,171324418787.0
70,00127158,씨아이테크,004920,부채총계,31715497061.0,42371691368,24817761142.0,21127082996.0,16206630816.0,5453984699.0,10894183469.0,9717539019.0,7011536432.0,565324950.0,2366032456.0
71,00454946,그린케미칼,083420,부채총계,88296552358.0,63603656000,78322382464.0,81834672164.0,85528585599.0,90866907870.0,102629658933.0,80575082071.0,55843892727.0,60107620369.0,39599286271.0
72,00852087,시디즈,134790,부채총계,23355362343.0,46987721100,35030466052.0,46895928346.0,1549567657.0,1459380404.0,1187584823.0,1207705816.0,1556753003.0,10180070208.0,11610499027.0
73,00587457,갤럭시아머니트리,094480,부채총계,207694904642.0,170117757354,148992776841.0,146361459734.0,119054050670.0,90045326529.0,77016835284.0,60057464037.0,148760453955.0,137043733105.0,161862847082.0
74,00113225,대한제강,084010,부채총계,512229905753.0,396483254650,173149684103.0,222188927879.0,292972495989.0,229357387443.0,230938486892.0,404088564833.0,435890505714.0,414635414682.0,465557892571.0
75,00145598,이연제약,102460,부채총계,232741035733.0,87520569279,52190654111.0,77774822762.0,71178763083.0,30440061303.0,43100990041.0,35739934181.0,38005206630.0,30567413263.0,28732412676.0
76,00124197,세아제강지주,003030,부채총계,1312346968538.0,984841924573,1096201014407.0,1092781938119.0,1142580112544.0,877629913686.0,846716709602.0,1110338534644.0,896115780603.0,,
77,00140964,영원무역홀딩스,009970,부채총계,1170497824939.0,1115409879234,1213687376031.0,1081984943807.0,1006884485575.0,1082669957117.0,921895812856.0,434397314467.0,413646941551.0,,
78,00104519,국보,001140,부채총계,70471633267.0,59996330250,86752438550.0,34775906618.0,55421607521.0,66033325740.0,64675994724.0,68385262756.0,68547121752.0,64701450127.0,64402912072.0
79,00158149,한국쉘석유,002960,부채총계,56156826918.0,50491876772,43195103685.0,45048636508.0,31504876603.0,25653454471.0,29688654141.0,24481600841.0,32791503257.0,30702955628.0,41856024367.0
80,00136341,신성통상,005390,부채총계,633484645106.0,627550383841,463116498626.0,425712976371.0,408045209247.0,482647802044.0,460486175089.0,427527325340.0,425309472024.0,344003526785.0,318783099548.0
81,00122898,벽산,007210,부채총계,215128919293.0,172690898327,171172716309.0,178853514030.0,159814221013.0,178134279358.0,162137695216.0,156772449522.0,171090855898.0,153121043578.0,177082313448.0
82,00116268,동성제약,002210,부채총계,58141479455.0,70770129193,61632135964.0,82711668118.0,59914198387.0,69765804955.0,66380906327.0,78658916773.0,65610939146.0,70751449193.0,64375926096.0
83,00228350,신화인터텍,056700,부채총계,74879789523.0,77699494666,87540483434.0,113355752402.0,103148070679.0,108641577865.0,109958862995.0,144549959173.0,143843686190.0,186500986490.0,237909566552.0
84,00453929,메디포스트,078160,부채총계,91900308386.0,102896203553,101759804190.0,48949435713.0,40206928724.0,35955535758.0,36450639540.0,68631670837.0,28348253123.0,20211154505.0,16753910622.0
85,00156150,하이트론씨스템즈,019490,부채총계,26722597103.0,47002700754,38483318021.0,30263518206.0,25202877745.0,19706558843.0,16142798846.0,17855629584.0,22904676450.0,30186296469.0,36811904437.0
86,00109286,대동,000490,부채총계,874734548516.0,610427548427,608523024306.0,555212961283.0,511728392715.0,452067280463.0,455162763142.0,476613029486.0,351891937099.0,324036467170.0,333395796865.0
87,00141273,웰바이오텍,010600,부채총계,103519878566.0,51430394475,44187469537.0,34755552649.0,60156618365.0,26006729350.0,22515699702.0,26132413901.0,20539410138.0,25773307464.0,31479027868.0
88,00301246,SFA반도체,036540,부채총계,223536653541.0,231720075983,345386475373.0,339642929064.0,363304797449.0,404596207047.0,470784211879.0,609402276985.0,588832537344.0,520405894691.0,378827408543.0
89,00141413,영화금속,012280,부채총계,150705229837.0,123903361898,131162598567.0,138829452608.0,109623537442.0,70140039257.0,54537236128.0,51861749361.0,49489299452.0,61066542818.0,76565172950.0
90,00109693,DL,000210,부채총계,3792740553888.0,10690535919843,6708517368302.0,6783472629934.0,7708148417254.0,7246135122451.0,7259124556784.0,6131464266747.0,5912711840947.0,6087925282974.0,6127245030299.0
91,00161125,한온시스템,018880,부채총계,5757074853164.0,5567975657008,4744866815510.0,3224124651287.0,2088135769997.0,1974831434146.0,1659920185025.0,1570030886269.0,1413029519216.0,797516474546.0,764655181186.0
92,00122737,팬오션,028670,부채총계,2891942000000.0,1852675000000,1554646000000.0,1459059000000.0,1484610000000.0,1764786000000.0,1882845000000.0,3135349000000.0,4639215000000.0,5371242.0,4587581.0
93,00313649,현대바이오,048410,부채총계,18957443929.0,41403365809,16462660682.0,13524025945.0,18607938596.0,35166553697.0,18808811280.0,10321691530.0,9039309897.0,13164172052.0,16297490808.0
94,00728638,한세실업,105630,부채총계,751823859857.0,599703859286,724452009761.0,678071687832.0,622479949407.0,707071811472.0,566569188973.0,452344054930.0,410285566604.0,351354612181.0,325327028417.0
95,00161976,한세예스24홀딩스,016450,부채총계,1291920827286.0,1094228155664,1135524402237.0,1060579092507.0,992421144333.0,1060589594760.0,886895297199.0,675055075631.0,501540083571.0,445761214171.0,409973966130.0
96,00160232,KSS해운,044450,부채총계,1103404278356.0,800671676634,676238454283.0,653237720469.0,684262697387.0,411978477238.0,333550199788.0,310586609699.0,178301241456.0,171791445537.0,156547816047.0
97,00131692,서흥,008490,부채총계,380086403113.0,389007505638,379866417065.0,330928257845.0,294448388173.0,297451687676.0,293712942413.0,253919691732.0,248316187193.0,,
98,00231363,LG유플러스,032640,부채총계,11411957000000.0,10698976000000,10591434000000.0,7086579000000.0,6702467000000.0,7162789000000.0,7502595000000.0,7834848000000.0,7752431000000.0,7340197.0,7189151.0
99,00428729,대호에이엘,069460,부채총계,76000081956.0,73758018949,54555866170.0,59446081931.0,61383109092.0,64802350945.0,65982970946.0,84721243384.0,93062904029.0,,
100,00141477,영흥,012160,부채총계,321035329574.0,191137321473,144538961350.0,126570279669.0,131082993967.0,128036017472.0,128645794079.0,170055899872.0,139943191376.0,91731638139.0,83831744555.0
101,00138224,쌍용씨앤이,003410,부채총계,1909294816425.0,1637119316279,1566656445603.0,1491298316079.0,1480136413250.0,1402222918111.0,1586192201873.0,1719970208743.0,1878275748778.0,2011119067279.0,2015826771059.0
102,00107613,이수페타시스,007660,부채총계,324186855631.0,324275898196,340687564484.0,327935051269.0,310163814267.0,353041420772.0,308179874091.0,322988711305.0,260243565863.0,172260458974.0,167740758143.0
103,00167208,흥아해운,003280,부채총계,144358895306.0,313059822973,400043338929.0,730550282325.0,737426396603.0,766045014667.0,618564168108.0,481837195751.0,415713168019.0,408906268876.0,417685173774.0
104,00136624,신영와코루,005800,부채총계,65750359288.0,56262665959,33947463102.0,32008986572.0,26839066481.0,34226779511.0,33863434344.0,28597854423.0,31897676450.0,34581765997.0,30988560445.0
105,00135050,팜젠사이언스,004720,부채총계,93391562628.0,51973964569,43788769612.0,41345912171.0,17426085638.0,27892703952.0,17791291050.0,21927090780.0,15494660537.0,16709724470.0,24132351419.0
106,00108940,대성홀딩스,016710,부채총계,647101706869.0,599463866516,596032747150.0,584723014531.0,585066563511.0,584177388167.0,604258423191.0,671660340717.0,643642705366.0,582821770230.0,486983319190.0
107,00459871,농심홀딩스,072710,부채총계,289723336280.0,274628632109,294369752516.0,298929771984.0,282061164779.0,330436837639.0,305194617810.0,294262159427.0,299357076457.0,273414815978.0,289625957353.0
108,00309503,한국항공우주,047810,부채총계,4557779985276.0,3924790737693,3183974946284.0,2702957417629.0,2025817851673.0,1535264519849.0,1593708067847.0,1108250000000.0,1047302000000.0,1005186.0,909908.0
109,00260930,에스엠,041510,부채총계,526500165835.0,452733816018,482852438972.0,426345966340.0,361878090412.0,149536301555.0,136211256332.0,101103363063.0,125942128868.0,,
110,00242378,이지홀딩스,035810,부채총계,1383165969553.0,1038911559268,1056650195067.0,1042006362883.0,895209344748.0,971841962111.0,1181669038742.0,1126935986504.0,1113465597335.0,946955869330.0,824288099652.0
111,01412822,솔루스첨단소재,336370,부채총계,489392306309.0,351309828513,353568066473.0,,,,,,,,
112,00593032,LF,093050,부채총계,1042768391210.0,1065019216335,1025585468436.0,468412421953.0,491507174467.0,528952358684.0,457297483923.0,420003360945.0,376632462040.0,333351783473.0,347806318808.0
113,00126566,한화에어로스페이스,012450,부채총계,7114272103768.0,6475090147420,5853055428024.0,4760935791485.0,3566619939625.0,3311673751474.0,1862814913893.0,1958676389623.0,1729443481319.0,1663262863820.0,1609769039688.0
114,00819073,인크로스,216050,부채총계,137355877570.0,104777537774,78518897511.0,58371761257.0,62960496096.0,43781595558.0,31614509652.0,30333353217.0,,,
115,00129280,삼화전자공업,011230,부채총계,49263944386.0,41201050030,44246179343.0,45022530031.0,61695745015.0,59532395822.0,60932898785.0,67645487100.0,61690258352.0,60693785617.0,65170014451.0
116,00132628,성문전자,014910,부채총계,23623581165.0,13826330227,15096843937.0,13901637374.0,13689929158.0,16083917521.0,16713689007.0,24377557530.0,19662819317.0,9656932794.0,18136562124.0
117,00123781,부국철강,026940,부채총계,30259504634.0,18923711690,9715737595.0,11497812160.0,17172093822.0,11396173762.0,12882278719.0,18566527796.0,31130635235.0,35576258030.0,43976850071.0
118,00407814,크리스탈지노믹스,083790,부채총계,118300626728.0,96545017578,153972522569.0,72452650463.0,27878221036.0,45401565109.0,53645552945.0,51024326457.0,52605846216.0,32291998154.0,32592810485.0
119,00525934,LX세미콘,108320,부채총계,372198273673.0,218317834580,157526494823.0,160944737525.0,132068703716.0,105319662442.0,115429854191.0,77592565634.0,70989075131.0,80425823593.0,47542480116.0
120,00414601,유니퀘스트,077500,부채총계,181823563167.0,143296165575,135266546967.0,132517383451.0,86252933027.0,101822564485.0,75019724184.0,71498775874.0,71905711699.0,,
121,00105466,KCC건설,021320,부채총계,647274466274.0,576990405484,661659129871.0,615539948148.0,603946081757.0,592742981960.0,539220774500.0,744119573080.0,837738213407.0,657490817660.0,703029411823.0
122,00159573,한국주철관공업,000970,부채총계,76191124416.0,73142233123,78565328643.0,83056761640.0,79632367375.0,87957512344.0,76388753382.0,100246394968.0,114729519467.0,118077971719.0,131605697232.0
123,01090471,씨아이에스,222080,부채총계,202953067227.0,169411779244,120073068259.0,128591679817.0,63403826478.0,52816919749.0,41078629133.0,,,,
124,00148896,OCI,010060,부채총계,2580268702000.0,2051507407000,2125488240000.0,2167025481000.0,2662132158000.0,2983957869000.0,4056569918000.0,4163226381000.0,4028989296000.0,3691416392.0,3484874562.0
125,00194947,한전산업,130660,부채총계,78116901515.0,80406633617,81365060802.0,73106043027.0,82860421874.0,82334819934.0,80709099293.0,114873874358.0,98517244766.0,99414431607.0,75026744910.0
126,00377610,세아홀딩스,058650,부채총계,2674980508978.0,2357914263365,2424279025081.0,2446572761884.0,2208791945106.0,2253717541123.0,2403812277571.0,1824326209945.0,1732164680807.0,1823125422034.0,1692487930314.0
127,00241005,코오롱플라스틱,138490,부채총계,148544685997.0,119662332802,141051096811.0,143626863066.0,159308059466.0,133480132648.0,111100002151.0,123741709249.0,131040081160.0,115096659190.0,108793812680.0
128,00225706,JW생명과학,234080,부채총계,87974591257.0,81908138577,78788450485.0,91602341809.0,96431094945.0,101942486861.0,97048812021.0,86901294302.0,,,
129,00936787,애경케미칼,161000,부채총계,555841020238.0,140944041270,132825682038.0,156525576244.0,157171987411.0,155311432968.0,127135998826.0,216222609114.0,249494407772.0,328175263810.0,
130,00159971,KC그린홀딩스,009440,부채총계,646639158815.0,546084292357,521778676607.0,384112880147.0,271769032781.0,254431616218.0,254493176684.0,243410230146.0,217906899413.0,293082382060.0,250982135134.0
