,기업명,기업코드
276,삼아알미늄,006110
277,삼양사,145990
278,삼양식품,003230
279,삼양통상,002170
280,삼양홀딩스,000070
281,삼영무역,002810
282,삼영전자공업,005680
283,삼영화학공업,003720
284,삼원강재,023000
285,삼익THK,004380
286,삼익악기,002450
287,삼일제약,000520
288,삼정펄프,009770
289,삼진제약,005500
290,삼천리,004690
291,삼호개발,010960
292,삼화왕관,004450
293,삼화전기,009470
294,삼화전자공업,011230
295,삼화콘덴서공업,001820
296,삼화페인트공업,000390
297,상신브레이크,041650
298,새론오토모티브,075180
299,샘표,007540
300,샘표식품,248170
301,서연,007860
302,서연이화,200880
303,서울도시가스,017390
304,서울식품공업,004410
305,서원,021050
306,서흥,008490
307,선도전기,007610
308,선진,136490
309,성문전자,014910
310,성보화학,003080
311,성신양회,004980
312,성안,011300
313,성창기업지주,000180
314,세기상사,002420
315,세방,004360
316,세방전지,004490
317,세아제강,306200
318,세아특수강,019440
319,세아홀딩스,058650
320,세우글로벌,013000
321,세원정공,021820
322,세이브존I&C,067830
323,세종공업,033530
324,세진중공업,075580
325,세하,027970
326,셀트리온,068270
327,송원산업,004430
328,수산중공업,017550
329,시디즈,134790
330,신대양제지,016590
331,신도리코,029530
332,신라교역,004970
333,신성이엔지,011930
334,신성통상,005390
335,신세계,004170
336,신세계I&C,035510
337,신세계건설,034300
338,신세계인터내셔날,031430
339,신세계푸드,031440
340,신송홀딩스,006880
341,신영와코루,005800
342,신영증권,001720
343,신원,009270
344,신풍제약,019170
345,신풍제지,002870
346,신한지주,055550
347,신흥,004080
348,쌍방울,102280
349,쌍용자동차,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
350,써니전자,004770
351,씨아이테크,004920
352,씨에스윈드,112610
353,아남전자,008700
354,아모레퍼시픽,090430
355,아모레퍼시픽그룹,002790
356,아세아,002030
357,아세아시멘트,183190
358,아세아제지,002310
359,아시아나항공,020560
360,아이마켓코리아,122900
361,아이에스동서,010780
362,아이에이치큐,003560
363,알루코,001780
364,에넥스,011090
365,에스엘,005850
366,에스원,012750
367,에스제이엠,123700
368,에스제이엠홀딩스,025530
369,에쓰씨엔지니어링,023960
370,에이블씨엔씨,078520
371,에이엔피,015260
372,에이프로젠제약,003060
373,엔씨소프트,036570
374,엔케이,085310
375,엔피씨,004250
376,영보화학,014440
377,영원무역,111770
378,영원무역홀딩스,009970
379,영진약품,003520
380,영풍,000670
381,영풍제지,006740
382,영화금속,012280
383,예스코홀딩스,015360
384,오뚜기,007310
385,오리엔트바이오,002630
386,오리온홀딩스,001800
387,용평리조트,070960
388,우리금융지주,316140
389,우리종금,010050
390,우신시스템,017370
391,우진,105840
392,우진플라임,049800
393,웅진,016880
394,웅진씽크빅,095720
395,원림,005820
396,웰바이오텍,010600
397,윌비스,008600
398,유나이티드,033270
399,유니드,014830
400,유니온,000910
401,유니온머티리얼,047400
402,유니켐,011330
403,유니퀘스트,077500
404,유성기업,002920
405,유수홀딩스,000700
406,유안타증권,003470
407,유엔젤,072130
408,유유제약,000220
409,유진증권,001200
410,유한양행,000100
411,유화증권,003460
412,율촌화학,008730
413,이건산업,008250
414,이구산업,025820
415,이노션,214320
416,이마트,139480
417,이수페타시스,007660
418,이수화학,005950
419,이스타코,015020
420,이아이디,093230
421,이연제약,102460
422,이월드,084680
423,이화산업,000760
424,인디에프,014990
425,인스코비,006490
426,인지컨트롤스,023800
427,인천도시가스,034590
428,인터지스,129260
429,인팩,023810
430,일동제약,249420
431,일동홀딩스,000230
432,일성건설,013360
433,일성신약,003120
434,일신방직,003200
435,일신석재,007110
436,일양약품,007570
437,일정실업,008500
438,일진다이아,081000
439,일진디스플,020760
440,일진머티리얼즈,020150
441,일진전기,103590
442,일진홀딩스,015860
443,잇츠한불,226320
444,자화전자,033240
445,전방,000950
446,제이에스코퍼레이션,194370
447,제이준코스메틱,025620
448,제일기획,030000
449,제일연마,001560
450,제일파마홀딩스,002620
451,제주은행,006220
452,제주항공,089590
453,조광페인트,004910
454,조광피혁,004700
455,조비,001550
456,조선내화,000480
457,조선선재,120030
458,조일알미늄,018470
459,조흥,002600
460,종근당,185750
461,종근당바이오,063160
462,종근당홀딩스,001630
463,주연테크,044380
464,지엠비코리아,013870
465,지역난방공사,071320
466,지투알,035000
467,진도,088790
468,진양산업,003780
469,진양폴리우레탄,010640
470,진양홀딩스,100250
471,진양화학,051630
472,진원생명과학,011000
473,진흥기업,002780
474,참엔지니어링,009310
475,천일고속,000650
476,체시스,033250
477,카카오,035720
478,카프로,006380
479,컨버즈,109070
480,케이씨,029460
481,케이씨씨,002380
482,케이씨티시,009070
483,케이티,030200
484,케이티스카이라이프,053210
485,케이티앤지,033780
486,코리아써키트,007810
487,코리안리,003690
488,코스맥스,192820
489,코스맥스비티아이,044820
490,코스모신소재,005070
491,코스모화학,005420
492,코아스,071950
493,코오롱,002020
494,코오롱글로벌,003070
495,코오롱인더,120110
496,코오롱플라스틱,138490
497,코웨이,021240
498,콤텍시스템,031820
499,쿠쿠홀딩스,192400
500,큐로,015590
501,크라운해태홀딩스,005740
502,키다리스튜디오,020120
503,키움증권,039490
504,태경산업,015890
505,태광산업,003240
506,태림포장,011280
507,태양금속공업,004100
508,태영건설,009410
509,태원물산,001420
510,태평양물산,007980
511,텔코웨어,078000
512,토니모리,214420
513,티비에이치글로벌,084870
514,티에이치엔,019180
515,티웨이홀딩스,004870
516,파미셀,005690
517,팜스코,036580
518,팬오션,028670
519,퍼스텍,010820
520,퍼시스,016800
521,페이퍼코리아,001020
522,평화산업,090080
523,평화홀딩스,010770
524,풀무원,017810
525,풍산,103140
526,풍산홀딩스,005810
527,하나금융지주,086790
528,하나투어,039130
529,하이스틸,071090
530,하이트론씨스템즈,019490
531,하이트진로,000080
532,하이트진로홀딩스,000140
533,한국가스공사,036460
534,한국공항,005430
535,한국금융지주,071050
536,한국내화,010040
537,한국단자공업,025540
538,한국석유공업,004090
539,한국수출포장공업,002200
540,한국쉘석유,002960
541,한국자산신탁,123890
542,한국전력공사,015760
543,한국전자홀딩스,006200
544,한국종합기술,023350
545,한국주강,025890
546,한국주철관공업,000970
547,한국철강,104700
548,한국카본,017960
549,한국콜마,161890
550,한국콜마홀딩스,024720
551,한국토지신탁,034830
